iteration,timestamp,RMSE,THD_mesure,THD_reference,FF_mesure,FF_reference,B_max,B_max_reference,dB_max,dB_max_reference,H_max,I_max_mA,delta_B,delta_dB,cycle,reinit,lag_synchro,calibreA,calibreB,amplitude_entree_V,calibreC,converge,calibreD,Idc_shunt_mA,Idc_probe_mA,ratio_Iprobe_Ishunt,dphi_probe_shunt_deg,H_max_probe
0,2026-08-18 10:49:23.772,70.6438,1.33972,8.00614e-05,1.10667,1.11142,0.000189507,0.2,31.5424,31415.9,0.139518,34.6302,0.999053,0.999125,1,1,-4,PS5000A_20MV,PS5000A_20MV,0.02,PS5000A_200MV,0,PS5000A_20MV,-32.9649,56.5145,0.658976,1.70262,0.0807576
1,2026-08-18 10:49:26.367,70.6429,0.333213,8.00614e-05,1.10835,1.11142,0.000193579,0.2,31.7379,31415.9,0.161989,34.7671,0.999032,0.999096,2,1,-2497,PS5000A_20MV,PS5000A_20MV,0.02001,PS5000A_200MV,0,PS5000A_20MV,-33.0909,56.1731,0.671015,0.0752563,0.0793366
2,2026-08-18 10:49:29.035,66.4188,9.56514e-05,8.00614e-05,1.11142,1.11142,0.0121405,0.2,1907.92,31415.9,4.78382,60.1507,0.939298,0.939338,3,1,-429,PS5000A_200MV,PS5000A_20MV,0.191428,PS5000A_1V,0,PS5000A_20MV,-33.5167,55.6819,0.877231,0.220577,4.16492
3,2026-08-18 10:49:31.828,59.7406,0.0321344,8.00614e-05,1.11117,1.11142,0.0310368,0.2,4884.91,31415.9,10.7328,92.8012,0.844816,0.845303,4,1,-421,PS5000A_500MV,PS5000A_20MV,0.486865,PS5000A_2V,0,PS5000A_20MV,-33.9945,55.4017,0.878024,0.367819,9.37973
4,2026-08-18 10:49:34.960,51.2188,0.0457156,8.00614e-05,1.11162,1.11142,0.0551234,0.2,8725.78,31415.9,15.8399,101.01,0.724385,0.725497,5,1,-516,PS5000A_500MV,PS5000A_20MV,0.864648,PS5000A_5V,0,PS5000A_20MV,-31.9752,52.7522,0.982683,0.14822,15.4305
5,2026-08-18 10:49:37.922,41.7637,0.0421905,8.00614e-05,1.11225,1.11142,0.0818185,0.2,12948.2,31415.9,20.1719,101.01,0.590954,0.590918,6,1,-474,PS5000A_1V,PS5000A_20MV,1.27928,PS5000A_5V,0,PS5000A_20MV,-23.5188,52.1443,1.10898,-0.089526,21.7812
6,2026-08-18 10:49:40.863,34.4139,9.83547e-05,8.00614e-05,1.11143,1.11142,0.102665,0.2,16215.7,31415.9,30.6969,205.298,0.486686,0.489497,7,1,-507,PS5000A_1V,PS5000A_50MV,1.60119,PS5000A_5V,0,PS5000A_20MV,-38.1375,51.7154,0.878356,0.406225,26.9584
7,2026-08-18 10:49:43.983,28.5138,7.9225e-05,8.00614e-05,1.11143,1.11142,0.11936,0.2,18837.2,31415.9,35.9368,234.284,0.4032,0.40606,8,1,-525,PS5000A_1V,PS5000A_50MV,1.86142,PS5000A_5V,0,PS5000A_50MV,-38.8832,50.8179,0.877966,0.415746,31.5464
8,2026-08-18 10:49:46.959,23.7332,0.000106191,8.00614e-05,1.11142,1.11142,0.132879,0.2,20903.5,31415.9,39.9879,252.525,0.335694,0.336643,9,1,-434,PS5000A_2V,PS5000A_50MV,2.07344,PS5000A_10V,0,PS5000A_50MV,-39.1243,49.8531,0.880788,0.392064,35.671
9,2026-08-18 10:49:49.987,19.7358,0.000122743,8.00614e-05,1.11142,1.11142,0.144195,0.2,22684.8,31415.9,40.4062,252.525,0.279059,0.280284,10,1,-450,PS5000A_2V,PS5000A_50MV,2.24961,PS5000A_10V,0,PS5000A_50MV,-37.5943,49.4232,0.898482,0.24219,39.5447
