entree,ChampB,ChampBdes,ChampH2,derivChampB,derivChampBdes,timeC,ih,v2_for_integration,ChampH23,ChampB_brut,ChampH2_brut,derivChampB_brut,ih_probe,ChampH2_probe_brut
3.0581653,-0.0002697132,0,14.679197,30764.016,31415.893,0,-0.34247318,-2.3214781,-63.175274,-0.18693018,-55.77689,9296.6396,-0.21900083,-49.148457
3.0581806,0.0002234368,0.00050265429,14.764037,30763.941,31415.893,1.6e-08,-0.34089637,-2.3397901,-62.884407,-0.18677993,-55.539894,9370.418,-0.21830042,-48.940876
3.0581923,0.00071654504,0.0010053054,14.848807,30763.674,31415.695,3.2e-08,-0.33923635,-2.3580871,-62.578186,-0.18662851,-55.302284,9444.1377,-0.21702322,-48.732731
3.0581999,0.0012096893,0.0015079501,14.933509,30763.211,31415.299,4.8e-08,-0.33864909,-2.3763695,-62.46986,-0.1864759,-55.064079,9517.7969,-0.21550035,-48.524033
3.0582027,0.0017027858,0.0020105855,15.018144,30762.553,31414.703,6.4e-08,-0.33713859,-2.3946366,-62.191219,-0.18632214,-54.825294,9591.3955,-0.21519059,-48.3148
3.0582008,0.0021959119,0.002513208,15.102712,30761.701,31413.908,8e-08,-0.3357144,-2.4128885,-61.928497,-0.18616718,-54.585957,9664.9326,-0.21289712,-48.105053
3.0581932,0.0026889842,0.0030158146,15.187214,30760.654,31412.916,9.6e-08,-0.33463699,-2.4311254,-61.729755,-0.18601105,-54.346077,9738.4092,-0.21204413,-47.894802
3.0581801,0.0031820796,0.0035184023,15.271652,30759.412,31411.727,1.12e-07,-0.33300626,-2.449347,-61.428936,-0.18585373,-54.105675,9811.8232,-0.21046327,-47.684063
3.0581605,0.0036751153,0.0040209675,15.356028,30757.975,31410.338,1.28e-07,-0.33127534,-2.4675529,-61.109634,-0.18569525,-53.864773,9885.1758,-0.20980254,-47.472858
3.0581346,0.0041681677,0.0045235078,15.440341,30756.344,31408.75,1.44e-07,-0.3303459,-2.4857433,-60.938187,-0.18553559,-53.623383,9958.4648,-0.20829798,-47.261196
3.0581012,0.004661154,0.0050260192,15.524592,30754.52,31406.965,1.6e-07,-0.32915291,-2.5039179,-60.718117,-0.18537477,-53.381531,10031.691,-0.20713675,-47.049095
3.0580604,0.005154151,0.0055284989,15.608785,30752.498,31404.98,1.76e-07,-0.32739425,-2.5220768,-60.3937,-0.18521278,-53.139229,10104.854,-0.20567492,-46.836575
3.0580118,0.0056470758,0.0060309432,15.692918,30750.283,31402.797,1.92e-07,-0.32691026,-2.5402198,-60.30442,-0.18504961,-52.896496,10177.951,-0.20525682,-46.623646
3.0579543,0.0061400044,0.0065333499,15.776994,30747.875,31400.416,2.08e-07,-0.32488033,-2.5583467,-59.929962,-0.18488526,-52.653355,10250.985,-0.20315866,-46.410328
3.0578883,0.0066328552,0.0070357155,15.861013,30745.27,31397.838,2.24e-07,-0.32344842,-2.5764575,-59.665821,-0.18471976,-52.409821,10323.953,-0.20222481,-46.19664
3.0578125,0.0071257036,0.0075380364,15.944978,30742.473,31395.059,2.4e-07,-0.32224771,-2.594552,-59.444332,-0.18455309,-52.165909,10396.856,-0.20149846,-45.98259
3.0577271,0.0076184678,0.0080403099,16.028889,30739.479,31392.084,2.56e-07,-0.32069868,-2.6126301,-59.158581,-0.18438525,-51.921642,10469.693,-0.19995575,-45.768196
3.057631,0.0081112236,0.0085425321,16.112745,30736.291,31388.91,2.72e-07,-0.31977233,-2.6306918,-58.987701,-0.18421625,-51.67704,10542.463,-0.19918211,-45.553478
3.0575244,0.0086038886,0.0090447012,16.196552,30732.908,31385.537,2.88e-07,-0.31844214,-2.6487367,-58.742325,-0.18404607,-51.432114,10615.167,-0.19815211,-45.338448
3.0574062,0.0090965386,0.0095468126,16.28031,30729.332,31381.967,3.04e-07,-0.31694397,-2.666765,-58.465961,-0.18387476,-51.186886,10687.803,-0.19668263,-45.123123
3.0572762,0.0095890928,0.010048863,16.364016,30725.561,31378.197,3.2e-07,-0.31493714,-2.6847763,-58.095764,-0.18370226,-50.941376,10760.371,-0.19455855,-44.90752
3.0571342,0.010081625,0.010550851,16.447676,30721.596,31374.23,3.36e-07,-0.31345591,-2.7027707,-57.822529,-0.1835286,-50.695595,10832.87,-0.19408704,-44.691654
3.0569789,0.010574055,0.011052772,16.53129,30717.436,31370.064,3.52e-07,-0.31281471,-2.7207482,-57.704247,-0.1833538,-50.44957,10905.302,-0.1936491,-44.475536
3.0568106,0.011066456,0.011554623,16.614859,30713.08,31365.701,3.68e-07,-0.31078479,-2.7387083,-57.329788,-0.18317783,-50.203312,10977.663,-0.19168371,-44.25919
3.0566287,0.011558751,0.012056401,16.698385,30708.531,31361.141,3.84e-07,-0.30971509,-2.7566512,-57.132465,-0.1830007,-49.956841,11049.955,-0.19010133,-44.042625
3.0564322,0.01205101,0.012558104,16.781868,30703.789,31356.381,4e-07,-0.30872709,-2.7745767,-56.950211,-0.18282242,-49.710175,11122.177,-0.18958709,-43.825859
3.0562212,0.012543155,0.013059726,16.865311,30698.852,31351.422,4.16e-07,-0.30719808,-2.7924845,-56.668159,-0.18264298,-49.463333,11194.328,-0.18825495,-43.60891
3.0559952,0.013035259,0.013561266,16.948713,30693.721,31346.268,4.32e-07,-0.3057338,-2.810375,-56.398048,-0.18246238,-49.216328,11266.408,-0.18666494,-43.391785
3.0557532,0.013527242,0.014062721,17.03208,30688.395,31340.912,4.48e-07,-0.30469033,-2.8282473,-56.205559,-0.18228064,-48.969181,11338.417,-0.18541521,-43.174507
3.0554953,0.014019179,0.014564087,17.115408,30682.873,31335.361,4.64e-07,-0.30332315,-2.846102,-55.953358,-0.18209775,-48.721909,11410.354,-0.18432112,-42.957088
3.0552206,0.01451099,0.015065361,17.198702,30677.16,31329.611,4.8e-07,-0.30176795,-2.8639388,-55.666473,-0.1819137,-48.474529,11482.218,-0.18369853,-42.739548
3.054929,0.015002746,0.015566539,17.281961,30671.25,31323.664,4.96e-07,-0.30061966,-2.8817575,-55.454647,-0.1817285,-48.227058,11554.01,-0.1816126,-42.521893
3.05462,0.015494371,0.016067619,17.365189,30665.148,31317.52,5.12e-07,-0.2990706,-2.8995578,-55.1689,-0.18154216,-47.979515,11625.728,-0.18134403,-42.304146
3.0542929,0.015985934,0.016568597,17.448387,30658.852,31311.176,5.28e-07,-0.29806873,-2.91734,-54.984085,-0.18135467,-47.731915,11697.372,-0.18016145,-42.086319
3.0539474,0.016477361,0.017069472,17.531555,30652.361,31304.635,5.44e-07,-0.29671851,-2.9351037,-54.735016,-0.18116604,-47.484272,11768.941,-0.17824641,-41.868427
3.0535834,0.01696872,0.017570239,17.614695,30645.676,31297.896,5.6e-07,-0.29458377,-2.9528487,-54.341221,-0.18097626,-47.23661,11840.437,-0.17771997,-41.650486
3.0532,0.017459935,0.018070893,17.697807,30638.799,31290.959,5.76e-07,-0.2939626,-2.9705753,-54.226639,-0.18078533,-46.988941,11911.857,-0.17655873,-41.432507
3.0527971,0.017951077,0.018571435,17.780897,30631.725,31283.824,5.92e-07,-0.29235962,-2.9882829,-53.930939,-0.18059327,-46.74128,11983.201,-0.17525254,-41.214508
3.0523741,0.018442068,0.019071858,17.863962,30624.459,31276.494,6.08e-07,-0.29085219,-3.0059717,-53.652866,-0.18040006,-46.493649,12054.47,-0.17396924,-40.996506
3.0519309,0.01893298,0.019572163,17.947006,30617,31268.965,6.24e-07,-0.28988576,-3.0236416,-53.474594,-0.1802057,-46.246063,12125.662,-0.172396,-40.778511
3.0514667,0.019423736,0.020072343,18.030029,30609.346,31261.236,6.4e-07,-0.28829357,-3.0412924,-53.180882,-0.18001023,-45.998535,12196.777,-0.17225562,-40.560535
3.0509815,0.019914407,0.020572394,18.113033,30601.498,31253.312,6.56e-07,-0.2873148,-3.058924,-53.000336,-0.17981359,-45.751083,12267.814,-0.16973785,-40.342602
3.0504749,0.020404914,0.021072319,18.19602,30593.457,31245.191,6.72e-07,-0.28546211,-3.0765362,-52.658573,-0.17961584,-45.503727,12338.774,-0.16883449,-40.124718
3.0499463,0.02089533,0.021572107,18.27899,30585.221,31236.873,6.88e-07,-0.28398708,-3.0941288,-52.386471,-0.17941695,-45.256477,12409.656,-0.16827601,-39.906898
3.0493956,0.021385578,0.022071762,18.361946,30576.793,31228.355,7.04e-07,-0.28254128,-3.1117022,-52.119774,-0.17921692,-45.00935,12480.459,-0.16653799,-39.689159
3.0488224,0.021875726,0.022571275,18.444891,30568.172,31219.643,7.2e-07,-0.28137296,-3.1292558,-51.904251,-0.17901576,-44.762367,12551.183,-0.16582996,-39.471512
3.0482266,0.0223657,0.023070646,18.527822,30559.355,31210.732,7.36e-07,-0.27981311,-3.1467896,-51.616512,-0.17881347,-44.515537,12621.826,-0.16441084,-39.253975
3.0476077,0.022855571,0.023569873,18.610744,30550.348,31201.623,7.52e-07,-0.27904552,-3.1643035,-51.474918,-0.17861006,-44.268883,12692.39,-0.16331217,-39.036556
3.0469651,0.02334526,0.02406895,18.693659,30541.145,31192.318,7.68e-07,-0.27797738,-3.1817975,-51.277878,-0.17840551,-44.022411,12762.873,-0.16192053,-38.819275
3.0462992,0.023834838,0.024567876,18.776566,30531.75,31182.816,7.84e-07,-0.27640828,-3.1992712,-50.988434,-0.17819983,-43.776146,12833.275,-0.16046022,-38.602142
