Bmax (T) =,0.09949566117097074,Freq(Hz) =,100000.0,Hc =,4.308083451484709,Br (T) =,0.011246835863529307,Hmax =,39.723536069156154,µr =,1993.179341334093,W(J/m³) =,1.3314486831717869,P(W/m³) =,133144.86831717868
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,-38.73604046223477,-0.09943778880707835,198.65288980319414
4e-09,-38.735876035468905,-0.09943668001493204,355.7431833493541
8e-09,-38.735442602774334,-0.09943494286611321,512.831226072111
1.2000000000000002e-08,-38.7345460846425,-0.09943257737160983,669.9160256151495
1.6e-08,-38.73319615700233,-0.09942958354637932,826.9965896426457
2e-08,-38.73159510684271,-0.09942596140934834,984.071925845537
2.4000000000000003e-08,-38.729756133526415,-0.09942171098341275,1141.1410419477872
2.8000000000000003e-08,-38.7275112815899,-0.09941683229543744,1298.2029457126575
3.2e-08,-38.724821980535424,-0.09941132537625609,1455.2566449489727
3.6000000000000005e-08,-38.72178459859768,-0.09940519026067117,1612.301147517389
4e-08,-38.718465297087455,-0.09939842698745346,1769.3354613366594
4.4000000000000004e-08,-38.714873785543,-0.09939103559934201,1926.3585943899036
4.8000000000000006e-08,-38.71096147013703,-0.09938301614304376,2083.3695547308716
5.2e-08,-38.706658476224824,-0.09937436866923333,2240.3673504902104
5.6000000000000005e-08,-38.70200533008277,-0.09936509323255259,2397.3509898817297
6.000000000000001e-08,-38.6971300537144,-0.0993551898916104,2554.3194812086663
6.4e-08,-38.69200821706234,-0.09934465870898224,2711.2718328699484
6.8e-08,-38.68645123330779,-0.09933349975120977,2868.207053366458
7.200000000000001e-08,-38.68043534121814,-0.09932171308880043,3025.1241513072982
7.6e-08,-38.67413297101048,-0.09930929879622698,3182.0221354160503
8e-08,-38.667625964026925,-0.09929625695192708,3338.900014537038
8.400000000000001e-08,-38.66088966993657,-0.09928258763830271,3495.7567976415876
8.800000000000001e-08,-38.65380722160305,-0.09926829094171977,3652.59149383429
9.2e-08,-38.64616082486832,-0.09925336695250736,3809.403112359256
9.600000000000001e-08,-38.637902269523956,-0.09923781576495744,3966.1906626063774
1.0000000000000001e-07,-38.629168112110726,-0.099221637477324,4122.953154117585
1.04e-07,-38.62010825958528,-0.09920483219182256,4279.6895965931035
1.08e-07,-38.61088591441598,-0.09918740001462958,4436.398999897707
1.1200000000000001e-07,-38.60150991074383,-0.09916934105588165,4593.080374066972
1.16e-07,-38.591817034825496,-0.09915065542967491,4749.732729313536
1.2000000000000002e-07,-38.58173078844448,-0.09913134325406421,4906.355076033343
1.24e-07,-38.571277215981524,-0.09911140465106252,5062.9464248118975
1.28e-07,-38.56054428365818,-0.09909083974664004,5219.505786430518
1.3200000000000002e-07,-38.54967028647063,-0.09906964867072342,5376.032171872581
1.36e-07,-38.53856665969223,-0.09904783155719502,5532.524592329762
1.4e-07,-38.52693919695503,-0.09902538854389195,5688.982059208303
1.4400000000000002e-07,-38.51478408183359,-0.09900231977260526,5845.403584135228
1.48e-07,-38.502361093577434,-0.09897862538907905,6001.788178964614
1.52e-07,-38.489668903880585,-0.09895430554300956,6158.134855783813
1.5600000000000002e-07,-38.476466134639665,-0.09892936038804415,6314.442626919698
1.6e-07,-38.46283800113618,-0.09890379008178043,6470.710504944914
1.64e-07,-38.449195467031174,-0.09887759478576516,6626.937502684092
1.6800000000000002e-07,-38.43556660743,-0.09885077466549337,6783.1226332201
1.72e-07,-38.42156807246076,-0.09882332989040712,6939.264909900285
1.7600000000000001e-07,-38.40699676451705,-0.09879526063389463,7095.363346342683
1.8000000000000002e-07,-38.39185347513868,-0.09876656707328907,7251.416956442262
1.84e-07,-38.37620987629115,-0.09873724938986742,7407.424754377158
1.8800000000000002e-07,-38.36022770257273,-0.09870730776884945,7563.38575461489
1.9200000000000003e-07,-38.344005030631585,-0.09867674239939636,7719.29897191859
1.96e-07,-38.32752883728285,-0.09864555347460983,7875.163421353228
2.0000000000000002e-07,-38.31077832281172,-0.09861374119153053,8030.978118291827
2.04e-07,-38.293770089295535,-0.0985813057511371,8186.742078421696
2.08e-07,-38.27648104949743,-0.09854824735834478,8342.454317750631
2.1200000000000002e-07,-38.25881925078795,-0.09851456622200404,8498.113852613142
2.16e-07,-38.240779353252606,-0.09848026255489947,8653.719699676667
2.2e-07,-38.22246277406858,-0.09844533657374822,8809.27087594777
2.2400000000000002e-07,-38.2039530122973,-0.09840978849919876,8964.76639877837
2.28e-07,-38.185294273045926,-0.09837361855582945,9120.205285871936
2.32e-07,-38.16635635610876,-0.09833682697214713,9275.586555289688
2.3600000000000002e-07,-38.14684661325524,-0.09829941398058566,9430.909225456811
2.4000000000000003e-07,-38.12676349901335,-0.0982613798175044,9586.17231516865
2.44e-07,-38.1063975897002,-0.09822272472318687,9741.3748435969
2.48e-07,-38.085829283781706,-0.09818344894183907,9896.515830295823
2.5200000000000003e-07,-38.06491699614865,-0.09814355272158806,10051.594295208419
2.56e-07,-38.04360403391722,-0.0981030363144803,10206.60925867262
2.6e-07,-38.02194282987968,-0.09806189997648011,10361.5597414275
2.6400000000000003e-07,-38.00001235650617,-0.098020143967468,10516.44476461943
2.68e-07,-37.97790162608606,-0.09797776855123916,10671.263349808283
2.72e-07,-37.955591271822215,-0.09793477399550159,10826.014518973598
2.7600000000000004e-07,-37.93295005952473,-0.09789116057187461,10980.697294520778
2.8e-07,-37.909902946316535,-0.09784692855588699,11135.310699287253
2.84e-07,-37.88644650837494,-0.09780207822697531,11289.85375654864
2.8800000000000004e-07,-37.86263495103942,-0.09775660986848216,11444.325490024947
2.92e-07,-37.838560855676974,-0.09771052376765435,11598.724923886695
2.96e-07,-37.814207106795244,-0.09766382021564105,11753.051082761125
3.0000000000000004e-07,-37.789455920563974,-0.09761649950749204,11907.302991738341
3.04e-07,-37.764361843578946,-0.09756856194215582,12061.47967637745
3.08e-07,-37.73915577306276,-0.09752000782247763,12215.58016271275
3.1200000000000004e-07,-37.71383031844733,-0.09747083745519769,12369.603477259867
3.16e-07,-37.688132188879514,-0.09742105115094912,12523.548647021888
3.2e-07,-37.66199224187126,-0.0973706492242561,12677.414699495544
3.2400000000000004e-07,-37.63553537332455,-0.09731963199353175,12831.200662677324
3.28e-07,-37.60876216283898,-0.09726799978107625,12984.905565069617
3.32e-07,-37.58153733623153,-0.09721575291307474,13138.528435686863
3.3600000000000004e-07,-37.553912268476715,-0.09716289171959525,13292.068304061671
3.4000000000000003e-07,-37.52613608424884,-0.09710941653458662,13445.52420025097
3.44e-07,-37.49825069135439,-0.09705532769587642,13598.895154842106
3.4800000000000005e-07,-37.4700748310897,-0.09700062554516883,13752.180198958995
3.5200000000000003e-07,-37.44152730498949,-0.09694531042804237,13905.37836426822
3.56e-07,-37.41265090806571,-0.09688938269394787,14058.488682985157
3.6000000000000005e-07,-37.383447180666,-0.09683284269620614,14211.510187880103
3.6400000000000003e-07,-37.35385777173826,-0.09677569079200582,14364.441912284357
3.68e-07,-37.323890665594185,-0.09671792734240105,14517.282890096349
3.7200000000000005e-07,-37.29362438954543,-0.09665955271230929,14670.032155787727
3.7600000000000003e-07,-37.26308063957594,-0.09660056727050888,14822.688744409468
3.8e-07,-37.23221730080847,-0.09654097138963687,14975.25169159797
3.8400000000000005e-07,-37.20101174054027,-0.09648076544618651,15127.720033581141
3.8800000000000003e-07,-37.16948824262735,-0.09641994982050499,15280.092807184481
3.92e-07,-37.1376623065021,-0.09635852489679093,15432.369049837187
3.96e-07,-37.10549345794993,-0.0962964910630921,15584.547799578208
4.0000000000000003e-07,-37.0729690051137,-0.09623384871130282,15736.628095062331
4.04e-07,-37.04014895570309,-0.09617059823716158,15888.608975566269
4.08e-07,-37.00707711331309,-0.09610674004024845,16040.489480994704
4.1200000000000004e-07,-36.97376695456177,-0.09604227452398269,16192.268651886363
4.16e-07,-36.94019892945865,-0.09597720209562006,16343.945529420094
4.2e-07,-36.90631362187137,-0.09591152316625039,16495.51915542089
4.2400000000000004e-07,-36.8720932107972,-0.09584523815079482,16646.988572365965
4.28e-07,-36.83755428465884,-0.0957783474680033,16798.352823390807
4.32e-07,-36.802691767184065,-0.09571085154045193,16949.610952295196
4.3600000000000004e-07,-36.767508703266934,-0.09564275079454025,17100.76200354927
4.4e-07,-36.732031264013926,-0.09557404566048855,17251.805022299548
4.44e-07,-36.69627359500074,-0.0955047365723352,17402.73905437496
4.4800000000000004e-07,-36.660282449514,-0.09543482396793386,17553.56314629289
4.52e-07,-36.62417788514371,-0.09536430828895075,17704.27634526519
4.56e-07,-36.58791697799148,-0.0952931899808618,17854.87769920416
4.6000000000000004e-07,-36.551238740601356,-0.09522146949294995,18005.36625672865
4.64e-07,-36.51413492942514,-0.09514914727830215,18155.741067169976
4.68e-07,-36.476902015112735,-0.09507622379380665,18306.00118057799
4.7200000000000004e-07,-36.43954125702366,-0.09500269950015003,18456.14564772706
4.7600000000000003e-07,-36.40172477741368,-0.09492857486181434,18606.173520122036
4.800000000000001e-07,-36.36336542910305,-0.09485385034707408,18756.083850004296
4.84e-07,-36.3246217552906,-0.09477852642799336,18905.875690357698
4.88e-07,-36.28563316163679,-0.09470260358042282,19055.548094914557
4.92e-07,-36.246547494170926,-0.09462608228399667,19205.100118161656
4.96e-07,-36.20732186020033,-0.09454896302212966,19354.53081534618
5.000000000000001e-07,-36.16769812425212,-0.094471246282014,19503.839242481703
5.040000000000001e-07,-36.12766376052518,-0.09439293255461631,19653.024456354167
5.08e-07,-36.087462481737624,-0.09431402233467455,19802.08551452779
5.12e-07,-36.04707990427373,-0.0942345161206948,19951.021475351077
5.16e-07,-36.006202194249234,-0.09415441441494816,20099.831397962742
5.2e-07,-35.96478929626658,-0.09407371772346765,20248.514342297633
5.24e-07,-35.92314362642306,-0.09399242655604488,20397.069369092696
5.280000000000001e-07,-35.88136533576254,-0.0939105414262269,20545.49553989291
5.32e-07,-35.83930771967512,-0.093828062851313,20693.79191705719
5.36e-07,-35.79693328176107,-0.09374499135235134,20841.957563764343
5.4e-07,-35.75433915766818,-0.0936613274541358,20989.991544018947
5.44e-07,-35.71156290980723,-0.09357707168520243,21137.892922657302
5.48e-07,-35.66855697985547,-0.09349222457782642,21285.66076535332
5.520000000000001e-07,-35.62524235968487,-0.09340678666801845,21433.2941386244
5.560000000000001e-07,-35.581510247966285,-0.09332075849552153,21580.792109837388
5.6e-07,-35.537432134310535,-0.09323414060380743,21728.1537472144
5.64e-07,-35.49329315619374,-0.09314693354007332,21875.378119838766
5.68e-07,-35.44907239608579,-0.09305913785523834,22022.464297660856
5.72e-07,-35.40439312284399,-0.09297075410394,22169.411351503997
5.760000000000001e-07,-35.35923868651247,-0.09288178284453086,22316.218353070315
5.800000000000001e-07,-35.314003420088504,-0.09279222463907481,22462.884374946643
5.84e-07,-35.26871423921286,-0.0927020800533437,22609.40849061031
5.88e-07,-35.22298369349057,-0.09261134965681361,22755.789774435052
5.92e-07,-35.176727628576266,-0.09252003402266135,22902.02730169683
5.96e-07,-35.13019419107062,-0.09242813372776079,23048.12014857968
6.000000000000001e-07,-35.08351652109669,-0.09233564935267927,23194.06739218155
6.040000000000001e-07,-35.03671808456302,-0.09224258148167387,23339.868110520125
6.08e-07,-34.98976338025174,-0.09214893070268776,23485.52138253865
6.12e-07,-34.94252956729348,-0.09205469760734646,23631.026288111756
6.16e-07,-34.894914810726114,-0.09195988279095411,23776.381908051266
6.2e-07,-34.846849795173355,-0.0918644868524898,23921.58732411201
6.240000000000001e-07,-34.79838386984122,-0.09176851039460358,24066.6416189976
6.280000000000001e-07,-34.74970433812748,-0.09167195402361285,24211.54387636625
6.32e-07,-34.700887059103835,-0.09157481834949843,24356.29318083658
6.36e-07,-34.65188822261974,-0.09147710398590078,24500.888617993325
6.4e-07,-34.602692291061274,-0.09137881155011601,24645.329274393214
6.44e-07,-34.553291445077335,-0.09127994166309208,24789.61423757065
6.480000000000001e-07,-34.503651420547875,-0.09118049494942486,24933.742596043525
6.520000000000001e-07,-34.453733932339944,-0.09108047203735413,25077.713439318966
6.56e-07,-34.403518437537564,-0.0909798735587597,25221.525857899058
6.6e-07,-34.35297516105917,-0.09087870014915732,25365.178943286654
6.64e-07,-34.30208417194125,-0.09077695244769476,25508.671787991054
6.68e-07,-34.250863520074965,-0.09067463109714771,25652.003485533744
6.720000000000001e-07,-34.19938523025035,-0.09057173674391575,25795.173130454164
6.760000000000001e-07,-34.14779116645541,-0.0904682700380182,25938.17981831538
6.800000000000001e-07,-34.09607771664017,-0.09036423163309015,26081.02264570981
6.84e-07,-34.044033510671156,-0.0902596221863782,26223.700710264973
6.88e-07,-33.99162953545108,-0.09015444235873638,26366.2131106491
6.92e-07,-33.93909117854305,-0.09004869281462193,26508.558946576915
6.960000000000001e-07,-33.88650680702788,-0.08994237422209114,26650.73731881529
7.000000000000001e-07,-33.83376492565199,-0.08983548725279514,26792.747329188896
