Bmax (T) =,0.04839316678915797,Freq(Hz) =,100000.0,Hc =,22.811035390093323,Br (T) =,0.016631797528954877,Hmax =,73.18399302765555,µr =,2000.0,W(J/m³) =,3.124924351088562,P(W/m³) =,312492.4351088562
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,22.698011349982348,-6.332921329584597e-05,31245.65918131389
8e-09,23.006450000764488,0.00018800153655833718,31233.287857516425
1.6e-08,23.32072883119859,0.00043899589629787356,31219.85924499072
2.4e-08,23.635085847668243,0.0006898130115242756,31205.429063708798
3.2e-08,23.946662967300536,0.0009405452490965064,31190.074864513525
4e-08,24.24919980929539,0.0011912456575484556,31173.876550330813
4.8e-08,24.552503512081962,0.001442083368087999,31155.4168302696
5.6e-08,24.854729706317556,0.0016928586685877125,31136.527702630727
6.4e-08,25.163693730568003,0.001943271990856426,31117.182577590484
7.2e-08,25.470420889071917,0.002193183536404948,31097.0007510963
8e-08,25.775019447809502,0.0024430526431263584,31078.1745813645
8.8e-08,26.07942356661695,0.002692844361398381,31057.514864787467
9.6e-08,26.381488532510925,0.002942458835157321,31035.832421008465
1.04e-07,26.677796532390243,0.0031920289977879586,31014.242848688158
1.12e-07,26.970729150316508,0.003441429405110262,30991.967262288123
1.2e-07,27.265664691705194,0.003690587661478056,30967.578624031205
1.28e-07,27.562530932362556,0.003939569297433113,30942.568325492415
1.36e-07,27.860005292197275,0.00418844483632046,30917.40188666147
1.44e-07,28.15243235935493,0.00443717433571461,30892.421182787504
1.52e-07,28.44737975734941,0.004685450738219634,30866.851810541713
1.6e-07,28.738720561092055,0.004933624164158908,30842.19365531447
1.68e-07,29.03505326661101,0.005181954863398555,30814.659436794125
1.76e-07,29.32471151769758,0.0054299366905155855,30787.662853982296
1.84e-07,29.61806809070384,0.005677451690534675,30760.235533258703
1.92e-07,29.906664881803145,0.0059245866134112115,30730.884541996118
2e-07,30.199919309879714,0.006171417599393785,30701.618428949627
2.08e-07,30.487396840139525,0.006418025781534196,30670.402733584666
2.16e-07,30.778693526899414,0.006664394933222039,30639.032598189053
2.24e-07,31.066880457336612,0.00691052255805575,30607.495517809963
2.32e-07,31.35596644515407,0.007156424882645704,30575.1806626113
2.4e-07,31.641952836105673,0.007402139977116148,30542.31199791378
2.48e-07,31.924144370497423,0.00764798738087103,30508.064425810862
2.56e-07,32.20678365480555,0.00789374803467055,30474.76892617042
2.64e-07,32.487597538239086,0.00813913922103431,30440.74528426854
2.72e-07,32.77082427206677,0.008384011779967076,30406.06660713599
2.8e-07,33.05311561902064,0.008628053661269725,30369.600914881423
2.88e-07,33.333273695815954,0.008871512008700006,30331.932990701833
2.96e-07,33.61041889520754,0.009115001561150176,30293.836208216584
3.04e-07,33.885679130261884,0.009358578487656104,30256.930705930576
3.12e-07,34.159740500917714,0.009601976921448128,30218.386662887628
3.2e-07,34.432512502262554,0.009845311696999547,30180.115809398583
3.28e-07,34.710409866752315,0.010088182765955021,30139.236574933886
3.36e-07,34.988512712338334,0.010330495889154427,30099.422408912313
3.44e-07,35.26737306015189,0.01057242519060892,30059.528451879574
3.52e-07,35.53848672230718,0.01081393010379255,30018.119886343648
3.6e-07,35.805933837211846,0.011055131704182618,29975.778526716644
3.68e-07,36.071448242938565,0.011296094274120167,29933.615921187735
3.76e-07,36.34310880730059,0.011536805331597186,29891.10727802338
3.84e-07,36.61912042353191,0.011777226182389005,29847.36559406426
3.92e-07,36.89185379534228,0.01201728817545181,29803.512730046885
4e-07,37.159315506536025,0.012256925780243807,29759.533088612123
4.08e-07,37.41849814129638,0.012496171449985657,29714.642976569434
4.16e-07,37.67946131158674,0.012735000220661456,29667.73465926022
4.24e-07,37.942128557614446,0.012973435808086364,29620.707001480347
4.32e-07,38.20695881674009,0.013211400199710543,29572.114154875606
4.4e-07,38.47540190188687,0.013448922728252738,29524.901939350926
4.48e-07,38.74167179427474,0.013686414051775017,29476.77872174023
4.56e-07,39.000023630985446,0.01392372875488461,29428.88557840422
4.64e-07,39.25884999377393,0.014160572886293871,29379.62088921916
4.72e-07,39.51392445888315,0.014397186100555768,29328.118280334777
4.8e-07,39.77352738692263,0.014633260716173971,29277.394038153914
4.88e-07,40.02670899433572,0.014868781754738875,29224.567357756325
4.96e-07,40.29124653001944,0.015103951424779547,29171.286875640737
5.04e-07,40.54883521946201,0.015338472654506403,29116.47613287614
5.12e-07,40.80292690440908,0.015572357925927434,29061.94694751821
5.2e-07,41.04985826057677,0.01580596360037001,29007.628257438955
5.28e-07,41.29959976243314,0.016039511857575947,28951.965871897308
5.36e-07,41.5511893091719,0.01627289098357397,28896.60675616272
5.44e-07,41.80335275409997,0.016505740872434227,28839.348394934794
5.52e-07,42.05920977539598,0.01673808274357028,28779.955883341845
5.6e-07,42.30539441188911,0.016969681311131978,28721.601006559114
5.68e-07,42.54997739477556,0.017200637679383873,28662.340432169152
5.76e-07,42.79085422461218,0.01743105357669083,28602.27510728752
5.84e-07,43.039532327690715,0.017660661263982008,28541.48820424964
5.92e-07,43.28442494166336,0.01788992944065655,28480.52557162184
6e-07,43.53054396314558,0.018118668380193322,28419.25341085726
6.08e-07,43.77268602236984,0.018347141452960423,28356.572092923077
6.16e-07,44.017268237498435,0.01857555648439051,28292.644139125943
6.24e-07,44.251113036550585,0.018803403584458134,28229.06274601359
6.32e-07,44.491174741912175,0.01903063032872987,28163.215230213555
6.4e-07,44.73303507360336,0.01925731847435789,28097.096353893314
6.48e-07,44.97394321987884,0.01948340311490079,28030.8928035195
6.56e-07,45.21487837345126,0.019708660822415947,27963.611857221244
