Bmax (T) =,0.07440000017165091,Freq(Hz) =,50000.0,Hc =,3.32900162190938,Br (T) =,0.016049223705293738,Hmax =,16.39996243008218,µr =,3610.1082072103163,W(J/m³) =,0.6692358424390883,P(W/m³) =,33461.792121954415
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,-14.281227752636346,-0.0710011984510125,8066.327297812162
8e-09,-14.260361645785446,-0.07093617862773867,8188.628520650218
1.6e-08,-14.238770388909122,-0.07087108206644263,8085.511803355386
2.4000000000000003e-08,-14.217759517874285,-0.07080617381621418,8141.5507537579615
3.2e-08,-14.196042256098085,-0.07074084552628541,8190.521728434086
4e-08,-14.175703987250968,-0.07067499774014076,8271.424807731499
4.8000000000000006e-08,-14.155322621523379,-0.07060868094332111,8307.774397181816
5.6000000000000005e-08,-14.134397615522424,-0.07054221117531252,8309.667604965689
6.4e-08,-14.112290647066418,-0.0704753097559292,8415.687240862453
7.200000000000001e-08,-14.08996994574442,-0.07040766316996215,8495.959250898573
8e-08,-14.068913953263664,-0.07033987926332386,8450.017408676644
8.800000000000001e-08,-14.048145181508753,-0.07027199640502538,8520.697165941152
9.600000000000001e-08,-14.026953594035241,-0.07020365109917223,8565.629297345016
1.04e-07,-14.005328495310007,-0.07013475853005571,8657.512981788883
1.1200000000000001e-07,-13.982698338645175,-0.07006520005665466,8732.105368473389
1.2000000000000002e-07,-13.960406295113792,-0.06999575669028686,8628.736223474049
1.28e-07,-13.93839497290492,-0.06992618761492224,8763.532617685645
1.36e-07,-13.917040526843891,-0.06985599100428416,8785.620041830805
1.4400000000000002e-07,-13.894561346102881,-0.06978574188868356,8776.658858320485
1.52e-07,-13.8717450801284,-0.06971499851963751,8909.183403191439
1.6e-07,-13.84853577280579,-0.06964372353784574,8909.562044748214
1.6800000000000002e-07,-13.825210440998571,-0.06957206739022016,9004.474861646271
1.7600000000000001e-07,-13.80243640694834,-0.06950027392192333,8943.892212562403
1.84e-07,-13.779907966076953,-0.06942843804577215,9015.076825235947
1.9200000000000003e-07,-13.755844493082447,-0.06935588022638603,9124.378021291419
2.0000000000000002e-07,-13.732238728489888,-0.06928274030871331,9160.601396889482
2.08e-07,-13.708758411817836,-0.06920921316694185,9221.184045973348
2.16e-07,-13.685780044310958,-0.06913523165530228,9274.193863921731
2.2400000000000002e-07,-13.662519473042728,-0.06906122187175978,9228.252021699798
2.32e-07,-13.639497725797227,-0.06898749228296933,9204.14517591851
2.4000000000000003e-07,-13.615179019730501,-0.06891338102348962,9323.669694006889
2.48e-07,-13.591044040193768,-0.0688384584613676,9406.970836497203
2.56e-07,-13.567523929856623,-0.06876304719920964,9445.84470299268
2.6400000000000003e-07,-13.543973899460692,-0.06868714117875084,9530.660411710092
2.72e-07,-13.519942166209379,-0.06861092820620333,9522.582725165577
2.8e-07,-13.496076630800802,-0.0685347980299429,9509.961339939773
2.8800000000000004e-07,-13.47167052331079,-0.06845839927060487,9589.728494566862
2.96e-07,-13.446782802300516,-0.06838148404418341,9639.07811079976
3.04e-07,-13.4219896238445,-0.06830400640883628,9730.330725982334
3.1200000000000004e-07,-13.397420944556735,-0.06822622737480998,9714.427780597818
3.2e-07,-13.373431786154233,-0.06814821055388598,9789.777450395875
3.28e-07,-13.349027983903598,-0.06806999885877413,9763.146327569424
3.3600000000000004e-07,-13.323962254248155,-0.06799129442478305,9912.962170199735
3.44e-07,-13.299674530214237,-0.06791210078590063,9885.44755040748
3.5200000000000003e-07,-13.275200134430714,-0.06783279304969575,9941.486500810055
3.6000000000000005e-07,-13.250812146244531,-0.06775308092430825,9986.54484606618
3.68e-07,-13.22559074085138,-0.06767319209952757,9985.661349100374
3.7600000000000003e-07,-13.200615509424598,-0.0675930175265854,10057.981886444239
3.8400000000000005e-07,-13.17524428444052,-0.0675124668363635,10079.690669032623
3.92e-07,-13.150769153662637,-0.06743199439872999,10038.418739344239
4.0000000000000003e-07,-13.125039846632875,-0.06735131194124631,10132.195631571973
4.08e-07,-13.099762438382466,-0.06726996761832142,10203.885099654548
4.16e-07,-13.07378862242706,-0.06718837288711363,10194.79770229197
4.2400000000000004e-07,-13.048935266607913,-0.06710653380588788,10264.972604147446
4.32e-07,-13.023408751840075,-0.06702415957792854,10328.584385685504
4.4e-07,-12.998106864891815,-0.06694154705821614,10324.545542413245
