Bmax (T) =,6.066105146795237e-06,Freq(Hz) =,100000.0,Hc =,0.5157294279442576,Br (T) =,nan,Hmax =,0.6472193783264394,µr =,7.458449574888215,W(J/m³) =,2.992503400871313e-06,P(W/m³) =,0.2992503400871313
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,0.5182515889613988,-6.066105146795237e-06,-0.319635586865457
4e-09,0.5207081472531184,-6.064924662018678e-06,-0.27060680141381405
8e-09,0.5142693952946303,-6.063860443246419e-06,-0.2615025847158814
1.2000000000000002e-08,0.4989353330859349,-6.0627619870979425e-06,-0.2877254895220884
1.6e-08,0.49816905829837016,-6.061512669336924e-06,-0.33693339098723435
2e-08,0.5354900448691219,-6.060055248849871e-06,-0.39177685253965583
2.4000000000000003e-08,0.5610964654750255,-6.058408985575464e-06,-0.4313547846633507
2.8000000000000003e-08,0.5249869477632874,-6.056659121721521e-06,-0.4435771423088974
3.2e-08,0.4893387733895265,-6.054927436762242e-06,-0.4222653373303126
3.6000000000000005e-08,0.5166782171930432,-6.0533588550985225e-06,-0.3620254945296477
4e-08,0.5503975614159408,-6.052096758137997e-06,-0.26902298573295585
4.4000000000000004e-08,0.5334803066800906,-6.05123451359526e-06,-0.16209928563546042
4.8000000000000006e-08,0.49515782257075686,-6.0507877700651725e-06,-0.061272479408182506
5.2e-08,0.4649197133464658,-6.0506961268531105e-06,0.015450873377166979
5.6000000000000005e-08,0.4566690436659865,-6.0508410475614804e-06,0.057009480807690395
6.000000000000001e-08,0.48445385598877405,-6.051072408646922e-06,0.05867106191299205
6.4e-08,0.5191228842848231,-6.051233705726088e-06,0.02197747766999967
6.8e-08,0.5311734940583268,-6.051203650146501e-06,-0.03700526746351142
7.200000000000001e-08,0.5300193104550989,-6.050927847997856e-06,-0.1008958068584948
7.6e-08,0.5252028496928524,-6.05040875872516e-06,-0.15864882948985568
8e-08,0.5182133179330716,-6.049683339639501e-06,-0.20406071333949521
8.400000000000001e-08,0.510562563096946,-6.048806590570754e-06,-0.23431382103395645
8.800000000000001e-08,0.4916265812504636,-6.0478487283700235e-06,-0.24461727933124916
9.2e-08,0.4506018491821045,-6.046886643668932e-06,-0.23642507121490577
9.600000000000001e-08,0.4285472358499192,-6.045973903351698e-06,-0.21994508740165564
1.0000000000000001e-07,0.46728196000375505,-6.04512802826612e-06,-0.20299245538712818
1.04e-07,0.5107971236148843,-6.044347662986124e-06,-0.1871901846107325
1.08e-07,0.5019552581909499,-6.043621491710049e-06,-0.17589545342725607
1.1200000000000001e-07,0.4922142291230418,-6.04292324429616e-06,-0.17322825351727833
1.16e-07,0.5341528402997505,-6.0422276076725105e-06,-0.1745900583075397
1.2000000000000002e-07,0.5542356261025335,-6.04154165005719e-06,-0.1683887493525857
1.24e-07,0.477206396482194,-6.04090325376944e-06,-0.15080939452205055
1.28e-07,0.40751661184596655,-6.040342235548728e-06,-0.12969971583423714
1.3200000000000002e-07,0.4522319750392512,-6.039858367268895e-06,-0.11223442408248137
1.36e-07,0.5287239006536267,-6.039426883429858e-06,-0.1035074954360997
1.4e-07,0.5521592039037406,-6.038997905803922e-06,-0.11098131753191916
1.4400000000000002e-07,0.5433547011581533,-6.038495056641585e-06,-0.14044326363642454
1.48e-07,0.5237192138937677,-6.0378376689323265e-06,-0.18825059099278163
1.52e-07,0.5012394585739435,-6.036974970298722e-06,-0.24309872580953257
1.5600000000000002e-07,0.4841397947748358,-6.03589554110295e-06,-0.29661587207670653
1.6e-07,0.4872053284894632,-6.0346062763083514e-06,-0.34801652522208715
1.64e-07,0.5256867311754093,-6.033108183195234e-06,-0.40103003133671067
1.6800000000000002e-07,0.5622384124291739,-6.031389653235048e-06,-0.4582349487564315
1.72e-07,0.5582757210332003,-6.029439616016233e-06,-0.5167836606505224
1.7600000000000001e-07,0.5410401522275547,-6.027260938414359e-06,-0.5725551402871448
