Bmax (T) =,0.025188154706999213,Freq(Hz) =,100000.0,Hc =,0.3742312860380813,Br (T) =,0.0005784419199914885,Hmax =,13.601341793470231,µr =,1473.6852399764266,W(J/m³) =,-0.015994052580655057,P(W/m³) =,-1599.4052580655057
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,-13.680204020297937,0.024950436533990435,2182.24370642276
4e-09,-13.686067256568741,0.024959090384998554,2144.681797635929
8e-09,-13.69229580611154,0.024967593754373792,2107.002889982746
1.2000000000000002e-08,-13.698147080645205,0.02497594618970443,2069.2147753366494
1.6e-08,-13.703285363920273,0.024984147172081653,2031.276413276199
2e-08,-13.707991205713437,0.024992195958842372,1993.1169670835134
2.4000000000000003e-08,-13.712914460493852,0.02500009163164928,1954.719436369336
2.8000000000000003e-08,-13.717861345919799,0.025007833441072214,1916.1852750978767
3.2e-08,-13.722174282903355,0.02501542104027713,1877.6143273592454
3.6000000000000005e-08,-13.72639831547793,0.025022854201724256,1838.9663962044262
4e-08,-13.73124997494291,0.025030132416108228,1800.1407957811136
4.4000000000000004e-08,-13.736350668034333,0.025037254999444536,1761.150872374531
4.8000000000000006e-08,-13.741293240687078,0.025044221445187184,1722.0719989500844
5.2e-08,-13.746010023921297,0.025051031326274897,1682.8685449049647
5.6000000000000005e-08,-13.750305678676243,0.025057683923416858,1643.4300260737398
6.000000000000001e-08,-13.754161368007038,0.025064178308468226,1603.7624996103805
6.4e-08,-13.758057332298794,0.025070513747918643,1563.957225600407
6.8e-08,-13.762276849509355,0.025076689652696434,1523.9951632949267
7.200000000000001e-08,-13.7664243508714,0.0250827053352025,1483.846089738635
7.6e-08,-13.770274344991819,0.025088560229533537,1443.6010757799436
8e-08,-13.773907735720686,0.02509425402202453,1403.2951697159403
8.400000000000001e-08,-13.777033512924465,0.025099786288147633,1362.8378918349847
8.800000000000001e-08,-13.779592095013427,0.025105156377135777,1322.2066022371391
9.2e-08,-13.78249313089015,0.025110363787872778,1281.4987662631595
9.600000000000001e-08,-13.7862628040115,0.02511540827364478,1240.7441197377912
1.0000000000000001e-07,-13.789877890116964,0.025120289454689027,1199.8464023853255
1.04e-07,-13.792347749875011,0.025125006602835773,1158.7276709878483
1.08e-07,-13.793820153074611,0.025129558889852584,1117.4158374172064
1.1200000000000001e-07,-13.794775809603136,0.025133945693861837,1075.9861672112615
1.16e-07,-13.795789509781079,0.02513816647197635,1034.402890043956
1.2000000000000002e-07,-13.797315865107166,0.025142220380941716,992.5515926385406
1.24e-07,-13.798950990948143,0.025146106462828353,950.4893506795934
1.28e-07,-13.799938353390974,0.025149824218778316,908.3886243017921
1.3200000000000002e-07,-13.80062408610607,0.02515337346812292,866.2360480005001
1.36e-07,-13.802258074928856,0.025156753692068528,823.8759248035909
1.4e-07,-13.804966323943493,0.025159964059311635,781.307696751709
1.4400000000000002e-07,-13.80760585050994,0.025163004067038003,738.696166432237
1.48e-07,-13.809763234508239,0.025165873717224202,696.1289266674863
1.52e-07,-13.811837383151605,0.025168572991571575,653.5082470170217
1.5600000000000002e-07,-13.813596169438792,0.025171101323467136,610.6577007631271
1.6e-07,-13.814454578752049,0.025173457706568054,567.5338496966865
1.64e-07,-13.814804269348606,0.02517564128109871,524.2534156291839
1.6800000000000002e-07,-13.815260108524784,0.025177651504411452,480.8582407451442
1.72e-07,-13.814991296629657,0.025179487738268252,437.2586876554033
1.7600000000000001e-07,-13.813219768503048,0.025181149129883937,393.43712018568823
1.8000000000000002e-07,-13.811635381670637,0.025182635008183244,349.5020294675092
1.84e-07,-13.812379006326099,0.025183945030802058,305.50927994043315
1.8800000000000002e-07,-13.814896025423991,0.025185078841439716,261.39603888794693
1.9200000000000003e-07,-13.81744527171396,0.025186035893431036,217.12995677268705
1.96e-07,-13.818683741964353,0.025186815666163046,172.75640923323883
2.0000000000000002e-07,-13.818780232389749,0.025187417808885615,128.31495205027977
2.04e-07,-13.818179485758298,0.025187842036052486,83.79863138525471
2.08e-07,-13.817650860589735,0.025188087905610165,39.13614745262839
2.1200000000000002e-07,-13.817098848887893,0.025188154706999213,-5.735452927869233
2.16e-07,-13.816507948697593,0.025188041672279986,-50.78190668664811
2.2e-07,-13.815820528924787,0.025187748217685234,-95.94539068794812
2.2400000000000002e-07,-13.814793434268232,0.025187273884554988,-141.22117443637413
2.28e-07,-13.813088807845944,0.025186618216269475,-186.61296831923602
2.32e-07,-13.810883967162018,0.025185780794760287,-232.09778627409443
2.3600000000000002e-07,-13.808869890045584,0.025184761286460088,-277.6563638264562
2.4000000000000003e-07,-13.807140659634133,0.025183559385075688,-323.2943283725775
2.44e-07,-13.805114183642736,0.02518217473048585,-369.03296654532045
2.48e-07,-13.802674276509077,0.02518060682261346,-414.9209696501425
2.5200000000000003e-07,-13.800284908156634,0.025178854912105322,-461.0342844204847
2.56e-07,-13.798074203406758,0.02517691805853124,-507.39250262087984
2.6e-07,-13.79570215286777,0.02517479544908715,-553.9122194231948
2.6400000000000003e-07,-13.79319174531063,0.02517248662553752,-600.4995553917755
2.68e-07,-13.79106455290151,0.025169991359350205,-647.1335382671562
2.72e-07,-13.789435966356903,0.02516730938639754,-693.8529380629482
2.7600000000000004e-07,-13.78792996520469,0.02516444032023126,-740.6801450763758
2.8e-07,-13.786196297410429,0.025161383794615348,-787.5826628804144
2.84e-07,-13.783908631417003,0.025158139518859823,-834.55521488241
2.8800000000000004e-07,-13.781241464914492,0.025154707142452788,-881.6329886374436
2.92e-07,-13.778920789648943,0.02515108626128672,-928.8075943935978
2.96e-07,-13.776799329349322,0.025147276508705997,-976.0686959690676
3.0000000000000004e-07,-13.773794550452779,0.025143277450433554,-1023.4604402517887
3.04e-07,-13.76984891302029,0.025139088492556215,-1071.0184984178663
3.08e-07,-13.765996694629266,0.025134709017778034,-1118.718890673248
3.1200000000000004e-07,-13.762803266324774,0.02513013858063935,-1166.4996786691954
3.16e-07,-13.760334759816617,0.025125376890365425,-1214.3454582924585
3.2e-07,-13.758133566711003,0.025120423555198185,-1262.3221253267757
3.2400000000000004e-07,-13.755183326148451,0.02511527801342535,-1310.44876109237
3.28e-07,-13.751172725756339,0.025109939853163364,-1358.6313699009002
3.32e-07,-13.746533470394741,0.025104408960690425,-1406.8148665673514
3.3600000000000004e-07,-13.741724744700184,0.025098685210427123,-1455.0602650853116
3.4000000000000003e-07,-13.737238798762839,0.025092768242825383,-1503.4235357826954
3.44e-07,-13.733176599651093,0.025086657594318613,-1551.900717604711
3.4800000000000005e-07,-13.729248099117173,0.025080352758243028,-1600.5173201862601
3.5200000000000003e-07,-13.72547201595535,0.025073853077856135,-1649.3228732614975
3.56e-07,-13.722166614688525,0.02506715791485489,-1698.2586273597105
3.6000000000000005e-07,-13.719277941164222,0.025060266982317923,-1747.207641125013
3.6400000000000003e-07,-13.7163613655908,0.025053180215750523,-1796.1756425723568
3.68e-07,-13.713083331762343,0.025045897386282805,-1845.2390912874685
3.7200000000000005e-07,-13.709217693203291,0.025038418075085,-1894.4165076149193
3.7600000000000003e-07,-13.704789890488438,0.025030741783629348,-1943.7292202134906
3.8e-07,-13.700129211897092,0.02502286795413226,-1993.1855283287255
3.8400000000000005e-07,-13.695694226165699,0.025014796235874128,-2042.673600737888
3.8800000000000003e-07,-13.692033031656463,0.0250065267055934,-2092.0915396234823
3.92e-07,-13.689228502079512,0.02499805949359575,-2141.5144592034912
3.96e-07,-13.68690654852448,0.024989394288711626,-2191.087982857719
4.0000000000000003e-07,-13.68441516735766,0.024980530444727686,-2240.8340091124583
4.04e-07,-13.680793734280094,0.024971467452976175,-2290.661866642592
4.08e-07,-13.676093236245507,0.024962205030377483,-2340.549432704701
4.1200000000000004e-07,-13.67144102363342,0.024952742823168093,-2390.5541719907924
4.16e-07,-13.667255461589436,0.024943080429558756,-2440.6426326770256
4.2e-07,-13.66320636362873,0.024933217655369523,-2490.7444619405583
4.2400000000000004e-07,-13.659144741614343,0.02492315435495454,-2540.9057455490624
4.28e-07,-13.655112938513,0.02491289012194119,-2591.2107611276633
4.32e-07,-13.650867969579071,0.024902424310441183,-2641.694988875048
4.3600000000000004e-07,-13.645824880189945,0.02489175626260197,-2692.328930731552
4.4e-07,-13.639885983453283,0.024880885621345265,-2742.9916976204777
4.44e-07,-13.633540494498947,0.024869812484675666,-2793.576637179029
4.4800000000000004e-07,-13.627151041871546,0.024858537074137637,-2844.1286318357133
4.52e-07,-13.620904970934076,0.02484705924915944,-2894.783857262072
4.56e-07,-13.614861627352479,0.02483537846335195,-2945.6090464842546
4.6000000000000004e-07,-13.608958224136403,0.02482349415223495,-2996.5465120149465
4.64e-07,-13.603081830301532,0.024811406032923807,-3047.513143556998
4.68e-07,-13.597038300575784,0.024799113994613663,-3098.506011514182
4.7200000000000004e-07,-13.590744628437545,0.024786617879099186,-3149.5517457230426
4.7600000000000003e-07,-13.584258946704818,0.02477391751178344,-3200.6319121508473
4.800000000000001e-07,-13.577581119447956,0.024761012773813734,-3251.7370727013245
4.84e-07,-13.570666010580798,0.02474790344247902,-3302.9285946585346
4.88e-07,-13.56340045216688,0.024734589064226462,-3354.2605316199288
4.92e-07,-13.555536174476332,0.024721069173906034,-3405.68462859332
4.96e-07,-13.54721062413106,0.024707343591514358,-3457.1065672456175
