Bmax (T) =,0.050495441777046,Freq(Hz) =,100000.0,Hc =,1.22411641722126,Br (T) =,0.0025760071288158655,Hmax =,25.518460392103204,µr =,1574.6638000372527,W(J/m³) =,0.1922999894342922,P(W/m³) =,19229.99894342922
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,-25.34973254636871,-0.04948589977553264,1299.9704631292204
4e-09,-25.392135643299433,-0.0494805325140484,1383.6602789869114
8e-09,-25.410541774304928,-0.049474830639743915,1467.276873255264
1.2000000000000002e-08,-25.404950939385195,-0.04946879447251779,1550.8067398086573
1.6e-08,-25.397366483935112,-0.049462424443730495,1634.207653840551
2e-08,-25.409844622176458,-0.04945572119560617,1717.416408322094
2.4000000000000003e-08,-25.41714186483075,-0.0494486855325048,1800.4151423618275
2.8000000000000003e-08,-25.393913573817457,-0.049441318100933634,1883.3006432213194
3.2e-08,-25.369007569446833,-0.04943361918297475,1966.15833621888
3.6000000000000005e-08,-25.371433593335503,-0.049425588998211194,2048.9340455617735
4e-08,-25.37996775027646,-0.04941722788840256,2131.6208587531046
4.4000000000000004e-08,-25.373232869864932,-0.04940853592916973,2214.358757661465
4.8000000000000006e-08,-25.36342762687268,-0.04939951277473037,2297.218462020378
5.2e-08,-25.3628584532714,-0.04939015813099747,2380.103404430588
5.6000000000000005e-08,-25.343602256950778,-0.04938047211321097,2462.9054888191854
6.000000000000001e-08,-25.277444421953188,-0.04937045510488769,2545.59867282309
6.4e-08,-25.226289894357656,-0.04936010757601135,2628.165765342704
6.8e-08,-25.25278976707369,-0.04934943015526644,2710.544607115675
7.200000000000001e-08,-25.30466249425306,-0.04933842356615947,2792.7499463648824
7.6e-08,-25.328911611194197,-0.049327088175144806,2874.9455609683346
8e-08,-25.332850503226478,-0.049315423881043034,2957.2014899177548
8.400000000000001e-08,-25.32390491279547,-0.04930343081272768,3039.332667758204
8.800000000000001e-08,-25.291001578702083,-0.049291109736162894,3121.2056146372474
9.2e-08,-25.222880043814637,-0.04927846137571368,3202.9746099710824
9.600000000000001e-08,-25.170761415511038,-0.04926548582365637,3284.8014186840624
1.0000000000000001e-07,-25.186815301119424,-0.0492521830267453,3366.597036851248
1.04e-07,-25.236302851735395,-0.04923855345184487,3448.190413361184
1.08e-07,-25.28378467457898,-0.04922459793847953,3529.5662693116597
1.1200000000000001e-07,-25.286452497113228,-0.049210317149865734,3610.828037584439
1.16e-07,-25.200567627965935,-0.04919571143332627,3692.030232149841
1.2000000000000002e-07,-25.122177318171264,-0.04918078097800666,3773.1974276506544
1.24e-07,-25.14957558047887,-0.04916552572881859,3854.4271663870845
1.28e-07,-25.197943773372607,-0.049149945414679035,3935.7299033898917
1.3200000000000002e-07,-25.18033912046507,-0.049134040061921944,4016.946475153146
1.36e-07,-25.133798328216507,-0.049117810127914,4098.020528821742
1.4e-07,-25.096347792924874,-0.04910125607700294,4179.004926706336
