Bmax (T) =,1,Freq(Hz) =,1,Hc =,1,Br (T) =,1,Hmax =,1,µr =,1,W(J/m³) =,1.0,P(W/m³) =,1
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,0.0,0.0,0.0
4e-09,0.0,0.0,0.0
8e-09,0.0,0.0,0.0
1.2000000000000002e-08,0.0,0.0,0.0
1.6e-08,0.0,0.0,0.0
2e-08,0.0,0.0,0.0
2.4000000000000003e-08,0.0,0.0,0.0
2.8000000000000003e-08,0.0,0.0,0.0
3.2e-08,0.0,0.0,0.0
3.6000000000000005e-08,0.0,0.0,0.0
4e-08,0.0,0.0,0.0
4.4000000000000004e-08,0.0,0.0,0.0
4.8000000000000006e-08,0.0,0.0,0.0
5.2e-08,0.0,0.0,0.0
5.6000000000000005e-08,0.0,0.0,0.0
6.000000000000001e-08,0.0,0.0,0.0
6.4e-08,0.0,0.0,0.0
6.8e-08,0.0,0.0,0.0
7.200000000000001e-08,0.0,0.0,0.0
7.6e-08,0.0,0.0,0.0
8e-08,0.0,0.0,0.0
8.400000000000001e-08,0.0,0.0,0.0
8.800000000000001e-08,0.0,0.0,0.0
9.2e-08,0.0,0.0,0.0
9.600000000000001e-08,0.0,0.0,0.0
1.0000000000000001e-07,0.0,0.0,0.0
1.04e-07,0.0,0.0,0.0
1.08e-07,0.0,0.0,0.0
1.1200000000000001e-07,0.0,0.0,0.0
1.16e-07,0.0,0.0,0.0
1.2000000000000002e-07,0.0,0.0,0.0
1.24e-07,0.0,0.0,0.0
1.28e-07,0.0,0.0,0.0
1.3200000000000002e-07,0.0,0.0,0.0
1.36e-07,0.0,0.0,0.0
1.4e-07,0.0,0.0,0.0
1.4400000000000002e-07,0.0,0.0,0.0
1.48e-07,0.0,0.0,0.0
1.52e-07,0.0,0.0,0.0
1.5600000000000002e-07,0.0,0.0,0.0
1.6e-07,0.0,0.0,0.0
1.64e-07,0.0,0.0,0.0
1.6800000000000002e-07,0.0,0.0,0.0
1.72e-07,0.0,0.0,0.0
1.7600000000000001e-07,0.0,0.0,0.0
1.8000000000000002e-07,0.0,0.0,0.0
1.84e-07,0.0,0.0,0.0
1.8800000000000002e-07,0.0,0.0,0.0
1.9200000000000003e-07,0.0,0.0,0.0
1.96e-07,0.0,0.0,0.0
2.0000000000000002e-07,0.0,0.0,0.0
2.04e-07,0.0,0.0,0.0
2.08e-07,0.0,0.0,0.0
2.1200000000000002e-07,0.0,0.0,0.0
2.16e-07,0.0,0.0,0.0
2.2e-07,0.0,0.0,0.0
2.2400000000000002e-07,0.0,0.0,0.0
2.28e-07,0.0,0.0,0.0
2.32e-07,0.0,0.0,0.0
2.3600000000000002e-07,0.0,0.0,0.0
2.4000000000000003e-07,0.0,0.0,0.0
2.44e-07,0.0,0.0,0.0
2.48e-07,0.0,0.0,0.0
2.5200000000000003e-07,0.0,0.0,0.0
2.56e-07,0.0,0.0,0.0
2.6e-07,0.0,0.0,0.0
2.6400000000000003e-07,0.0,0.0,0.0
2.68e-07,0.0,0.0,0.0
2.72e-07,0.0,0.0,0.0
2.7600000000000004e-07,0.0,0.0,0.0
2.8e-07,0.0,0.0,0.0
2.84e-07,0.0,0.0,0.0
2.8800000000000004e-07,0.0,0.0,0.0
2.92e-07,0.0,0.0,0.0
2.96e-07,0.0,0.0,0.0
3.0000000000000004e-07,0.0,0.0,0.0
3.04e-07,0.0,0.0,0.0
3.08e-07,0.0,0.0,0.0
3.1200000000000004e-07,0.0,0.0,0.0
3.16e-07,0.0,0.0,0.0
3.2e-07,0.0,0.0,0.0
3.2400000000000004e-07,0.0,0.0,0.0
3.28e-07,0.0,0.0,0.0
3.32e-07,0.0,0.0,0.0
3.3600000000000004e-07,0.0,0.0,0.0
3.4000000000000003e-07,0.0,0.0,0.0
3.44e-07,0.0,0.0,0.0
3.4800000000000005e-07,0.0,0.0,0.0
3.5200000000000003e-07,0.0,0.0,0.0
3.56e-07,0.0,0.0,0.0
3.6000000000000005e-07,0.0,0.0,0.0
3.6400000000000003e-07,0.0,0.0,0.0
3.68e-07,0.0,0.0,0.0
3.7200000000000005e-07,0.0,0.0,0.0
3.7600000000000003e-07,0.0,0.0,0.0
3.8e-07,0.0,0.0,0.0
3.8400000000000005e-07,0.0,0.0,0.0
3.8800000000000003e-07,0.0,0.0,0.0
3.92e-07,0.0,0.0,0.0
3.96e-07,0.0,0.0,0.0
4.0000000000000003e-07,0.0,0.0,0.0
4.04e-07,0.0,0.0,0.0
4.08e-07,0.0,0.0,0.0
4.1200000000000004e-07,0.0,0.0,0.0
4.16e-07,0.0,0.0,0.0
4.2e-07,0.0,0.0,0.0
4.2400000000000004e-07,0.0,0.0,0.0
4.28e-07,0.0,0.0,0.0
4.32e-07,0.0,0.0,0.0
4.3600000000000004e-07,0.0,0.0,0.0
4.4e-07,0.0,0.0,0.0
4.44e-07,0.0,0.0,0.0
4.4800000000000004e-07,0.0,0.0,0.0
4.52e-07,0.0,0.0,0.0
4.56e-07,0.0,0.0,0.0
4.6000000000000004e-07,0.0,0.0,0.0
4.64e-07,0.0,0.0,0.0
4.68e-07,0.0,0.0,0.0
4.7200000000000004e-07,0.0,0.0,0.0
4.7600000000000003e-07,0.0,0.0,0.0
4.800000000000001e-07,0.0,0.0,0.0
4.84e-07,0.0,0.0,0.0
4.88e-07,0.0,0.0,0.0
4.92e-07,0.0,0.0,0.0
4.96e-07,0.0,0.0,0.0
5.000000000000001e-07,0.0,0.0,0.0
5.040000000000001e-07,0.0,0.0,0.0
5.08e-07,0.0,0.0,0.0
5.12e-07,0.0,0.0,0.0
5.16e-07,0.0,0.0,0.0
5.2e-07,0.0,0.0,0.0
5.24e-07,0.0,0.0,0.0
5.280000000000001e-07,0.0,0.0,0.0
5.32e-07,0.0,0.0,0.0
5.36e-07,0.0,0.0,0.0
5.4e-07,0.0,0.0,0.0
5.44e-07,0.0,0.0,0.0
5.48e-07,0.0,0.0,0.0
5.520000000000001e-07,0.0,0.0,0.0
5.560000000000001e-07,0.0,0.0,0.0
5.6e-07,0.0,0.0,0.0
5.64e-07,0.0,0.0,0.0
5.68e-07,0.0,0.0,0.0
5.72e-07,0.0,0.0,0.0
5.760000000000001e-07,0.0,0.0,0.0
5.800000000000001e-07,0.0,0.0,0.0
5.84e-07,0.0,0.0,0.0
5.88e-07,0.0,0.0,0.0
5.92e-07,0.0,0.0,0.0
5.96e-07,0.0,0.0,0.0
6.000000000000001e-07,0.0,0.0,0.0
6.040000000000001e-07,0.0,0.0,0.0
6.08e-07,0.0,0.0,0.0
6.12e-07,0.0,0.0,0.0
6.16e-07,0.0,0.0,0.0
6.2e-07,0.0,0.0,0.0
6.240000000000001e-07,0.0,0.0,0.0
6.280000000000001e-07,0.0,0.0,0.0
6.32e-07,0.0,0.0,0.0
6.36e-07,0.0,0.0,0.0
6.4e-07,0.0,0.0,0.0
6.44e-07,0.0,0.0,0.0
6.480000000000001e-07,0.0,0.0,0.0
6.520000000000001e-07,0.0,0.0,0.0
6.56e-07,0.0,0.0,0.0
6.6e-07,0.0,0.0,0.0
6.64e-07,0.0,0.0,0.0
6.68e-07,0.0,0.0,0.0
6.720000000000001e-07,0.0,0.0,0.0
6.760000000000001e-07,0.0,0.0,0.0
6.800000000000001e-07,0.0,0.0,0.0
6.84e-07,0.0,0.0,0.0
6.88e-07,0.0,0.0,0.0
6.92e-07,0.0,0.0,0.0
6.960000000000001e-07,0.0,0.0,0.0
7.000000000000001e-07,0.0,0.0,0.0
