Bmax (T) =,0.0462323630045161,Freq(Hz) =,400000.0,Hc =,2.5524585606102757,Br (T) =,0.00697630726765402,Hmax =,22.55627813293091,µr =,1631.0556776308717,W(J/m³) =,0.4133443155785523,P(W/m³) =,165337.7262314209
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,-17.14600819043801,-0.04211740478277071,45528.407523707676
1.6666666666666667e-08,-16.857528099253397,-0.04132622835538459,49412.763762626215
3.3333333333333334e-08,-16.528770749322543,-0.04046424122934834,54025.69136172427
5e-08,-16.160447816405785,-0.03952865106137707,58245.128794828284
6.666666666666667e-08,-15.75343608500179,-0.03853220186119745,61328.77522672519
8.333333333333334e-08,-15.308696689894763,-0.03748545756338654,64280.540510584564
1e-07,-14.827293280227332,-0.03637792199923227,68623.72718792758
1.1666666666666667e-07,-14.31027956867095,-0.035204436835923114,72194.49240917055
1.3333333333333334e-07,-13.758759525458988,-0.03398288522440491,74391.70097301439
1.5e-07,-13.174039405313199,-0.03272142700487251,76983.28537087435
1.6666666666666668e-07,-12.557426686855719,-0.03140945860005294,80452.9232074738
1.8333333333333333e-07,-11.910214042176735,-0.03004205501825976,83635.50660770784
2e-07,-11.233821416511093,-0.028629516475449715,85869.11852949737
2.1666666666666667e-07,-10.529742991551752,-0.02717979796113438,88097.10318834266
2.3333333333333333e-07,-9.799480724738888,-0.025685526519642194,91215.46979071994
2.5e-07,-9.044581335402349,-0.024138772979116686,94394.95507234086
2.6666666666666667e-07,-8.26665495092481,-0.022549266367720727,96345.83829517444
2.8333333333333336e-07,-7.467371137861086,-0.020928974765409114,98089.15398221888
3e-07,-6.648454100529746,-0.019274303134586133,100471.44171653947
3.1666666666666667e-07,-5.811623706001494,-0.01757762250718519,103130.23357157352
3.3333333333333335e-07,-4.958612143116391,-0.015845192318898336,104761.38902284944
3.5e-07,-4.091217429966778,-0.014091391485511287,105694.7109835968
3.6666666666666667e-07,-3.211264928039247,-0.012314778320659638,107498.86879860086
3.8333333333333335e-07,-2.320585660257657,-0.010502400588545907,109986.45905504633
4e-07,-1.420988434389221,-0.008661740179262625,110892.79005894826
4.1666666666666667e-07,-0.5143107730988303,-0.006813599896523807,110884.0438697099
4.3333333333333335e-07,0.39753554496958404,-0.004955021007850048,112145.422771141
4.5000000000000003e-07,1.3126224911592923,-0.0030674241935935427,114366.19493963962
4.6666666666666666e-07,2.2291507001997863,-0.0011590179548912418,114642.55370463722
4.833333333333333e-07,3.145240606583962,0.0007441601344500246,113738.81701631554
5e-07,4.058992236527887,0.0026475244870763697,114664.90529884545
5.166666666666667e-07,4.9685271006667024,0.00456771701799537,115758.19841143419
5.333333333333333e-07,5.87204673036649,0.0064886876351388685,114758.27564578506
5.5e-07,6.767764768588525,0.008390166861898299,113419.23156534586
5.666666666666667e-07,7.653820900135977,0.010285021446992613,113963.31864597215
5.833333333333334e-07,8.528415758200842,0.012184975026804662,114031.1109314733
6e-07,9.389860608968783,0.014065954777192765,111686.45911510062
6.166666666666667e-07,10.23646334453765,0.015909184915470206,109501.15747819206
6.333333333333333e-07,11.066469630819054,0.017731452559657027,109170.95982422678
6.5e-07,11.878253969932796,0.01954049077617147,107913.62615750701
6.666666666666667e-07,12.670255450291418,0.021310446421069554,104481.05123026221
6.833333333333334e-07,13.440924178677887,0.023031145109530644,102002.79138506779
7e-07,14.188697208824491,0.024720077497950087,100669.09522526647
7.166666666666667e-07,14.91208436932358,0.026377379161046394,98207.10434629023
7.333333333333333e-07,15.609756828664581,0.0279829053467313,94456.03793589812
7.5e-07,16.280398879145086,0.02953032590841336,91234.42946594983
7.666666666666667e-07,16.922626882535518,0.03103103446603857,88850.59744907524
7.833333333333334e-07,17.535197135704276,0.03248642092872175,85795.77807290641
8e-07,18.116981394547846,0.033878243430599926,81222.92215247569
8.166666666666666e-07,18.666864670645296,0.0352011422695761,77524.93852466467
8.333333333333333e-07,19.18372023938404,0.03646560350253736,74210.40943068604
8.5e-07,19.666641402999012,0.03766387868046447,69582.61192056656
8.666666666666667e-07,20.11469530565994,0.03878326441079338,64743.675718903185
8.833333333333334e-07,20.527046081520673,0.03983189574295766,61092.08414081103
9.000000000000001e-07,20.902977655860322,0.04081359798584262,56712.18500538481
9.166666666666666e-07,21.241689216528098,0.041714608299014466,51409.05257523671
9.333333333333333e-07,21.542619306391245,0.04253008555782703,46448.218482271164
9.5e-07,21.80529003697153,0.04326640097551366,41909.63164012465
9.666666666666666e-07,22.029203114635887,0.04392566253913198,37201.75599407375
9.833333333333334e-07,22.213959006750834,0.04450177464935381,31931.69723254605
1e-06,22.359232366686584,0.044992858273428776,26998.337656450167
1.0166666666666667e-06,22.464767686825226,0.045406345908251065,22620.17852222453
1.0333333333333333e-06,22.530495975570606,0.04574020321117662,17442.697828842563
1.0500000000000001e-06,22.55627813293091,0.045985334365849465,11973.040731898584
1.0666666666666667e-06,22.542063365281432,0.046147922562622935,7537.542880917482
1.0833333333333333e-06,22.48801046785783,0.0462323630045161,2595.310146262226
1.1e-06,22.39426325621641,0.04622899670712931,-2999.2658326765522
1.1166666666666666e-06,22.260967143460885,0.04613531327734058,-8242.745741971805
1.1333333333333334e-06,22.088470942472714,0.045964018383505424,-12312.641518246564
1.15e-06,21.877127896109073,0.04571796437069168,-17213.84001940416
1.1666666666666668e-06,21.62741921801601,0.04538300548874875,-22981.225813747285
1.1833333333333334e-06,21.33982947333118,0.04495826273110458,-27987.905103552734
1.2e-06,21.014879394106057,0.04445927729406988,-31890.34734061252
1.2166666666666667e-06,20.65332393364864,0.04389221402426988,-36157.24503538652
1.2333333333333333e-06,20.25588559476619,0.04324387308435632,-41643.66775423981
1.25e-06,19.823223685565996,0.042514129428284315,-45925.57097440064
1.2666666666666667e-06,19.35620687255452,0.04172390275767331,-48901.629498919625
1.2833333333333333e-06,18.85582192793864,0.040872338593072204,-53286.07025321454
1.3e-06,18.323000359331846,0.03994336604486933,-58190.63553112953
1.3166666666666666e-06,17.75871359590327,0.038943816981239214,-61755.25210448533
1.3333333333333334e-06,17.164034709464026,0.0378935219988278,-64280.145784883025
1.35e-06,16.540101151659666,0.03679137289268882,-67977.74695179511
1.3666666666666668e-06,15.8880795041148,0.035621326637422686,-72427.8036801395
1.3833333333333334e-06,15.209102344805363,0.03438897613666203,-75454.25641114026
1.4e-06,14.504447798561943,0.033116290446189474,-77268.0264455671
1.4166666666666667e-06,13.77547036237595,0.0318049941251102,-80087.53208394485
1.4333333333333333e-06,13.02342490003454,0.030435445700325484,-84258.27889022167
1.45e-06,12.24958786039864,0.029010812811437383,-86697.667776349
1.4666666666666667e-06,11.455396009542577,0.027551549038714974,-88413.98495034127
1.4833333333333335e-06,10.642236450594297,0.02605561513422615,-91098.08358831606
1.5e-06,9.811530470482865,0.024507915038772435,-94625.92786613035
1.5166666666666666e-06,8.964669778527538,0.022910386333042015,-97077.51682152058
1.5333333333333334e-06,8.103051174771332,0.021281620105496835,-98374.43048390001
1.55e-06,7.228206915956194,0.0196261094589484,-100286.84710191344
1.5666666666666668e-06,6.341613252842681,0.017931144111989778,-103108.9945331192
1.5833333333333333e-06,5.444639529021407,0.016195203885404016,-105203.83265717399
1.6e-06,4.538765791958442,0.014434673767776112,-106059.78145817509
1.6166666666666667e-06,3.6254323220323523,0.012653453745449333,-107686.62122103685
1.6333333333333333e-06,2.706082728807864,0.010839878772516253,-109942.37553093416
1.65e-06,1.7821413874719263,0.008995847546516526,-111341.37158903152
1.6666666666666667e-06,0.8555979966270346,0.007139014638784234,-111478.57733884468
1.6833333333333335e-06,-0.07193565586542067,0.005275040639508965,-112198.30257418597
1.7e-06,-0.9987814559322925,0.003386033968138572,-114482.49799026239
1.7166666666666666e-06,-1.9233504961260655,0.0014726942890108889,-115118.26350506097
1.7333333333333334e-06,-2.844095873391513,-0.00043892539558845766,-114276.09864685875
1.75e-06,-3.7593329088441116,-0.0023463400089362304,-114613.65495487515
1.7666666666666668e-06,-4.6674445791725105,-0.004267721223216745,-115952.09075878505
1.7833333333333333e-06,-5.566933882236386,-0.006193985761464334,-115199.65383092657
1.8000000000000001e-06,-6.456251874370602,-0.008102080866901097,-113771.75882148345
1.8166666666666667e-06,-7.333789604091187,-0.009998182209320668,-113760.40226886635
1.8333333333333333e-06,-8.198017383322908,-0.01189743797160363,-114150.28920509055
1.85e-06,-9.047418250863776,-0.013782273444748023,-112029.96757223493
1.8666666666666667e-06,-9.880586465277952,-0.015628750649956412,-109547.29705277286
1.8833333333333334e-06,-10.696019169098053,-0.017449808711406528,-108979.67032123927
1.9e-06,-11.492236419742053,-0.01925876015897483,-108094.50338695805
1.916666666666667e-06,-12.26796954259304,-0.02103398226444733,-104932.14926974017
1.933333333333333e-06,-13.021844482136418,-0.022756990168545353,-101828.79922202637
1.95e-06,-13.75246671729353,-0.024443898427271057,-100600.19182505693
1.9666666666666668e-06,-14.458617925728793,-0.026102028756064256,-98375.44763012562
1.9833333333333335e-06,-15.139035826575112,-0.027709800157883897,-94557.12058822934
2e-06,-15.792593632443161,-0.02925849308643926,-91286.03083841768
