Bmax (T) =,0.14385067971419796,Freq(Hz) =,10000.0,Hc =,nan,Br (T) =,0.061575443854967694,Hmax =,nan,µr =,4300.0,W(J/m³) =,nan,P(W/m³) =,nan
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,nan,0.06671802144367753,-30243.903135298922
4e-08,nan,0.06550010787093828,-30502.45914769564
8e-08,nan,0.06427046245383898,-30751.025537717032
1.2e-07,nan,0.06303122314216102,-30993.11380129116
1.6e-07,nan,0.06178723650678679,-31226.865283305397
2e-07,nan,0.060534400330724394,-31452.61184339717
2.4e-07,nan,0.05927252025490351,-31673.052492313498
2.8e-07,nan,0.058002832733839126,-31888.381815623914
3.2e-07,nan,0.056727190381657466,-32097.56698569436
3.6e-07,nan,0.05544887662607182,-32302.220176667168
4e-07,nan,0.05416428135071819,-32501.06274205742
4.4e-07,nan,0.052875348146306754,-32698.44716514057
4.8e-07,nan,0.05158319767897222,-32888.183103790194
5.2e-07,nan,0.05028312397801222,-33079.0733997216
5.6e-07,nan,0.04897692176336069,-33266.66434976748
6e-07,nan,0.04766552147738061,-33451.00155019561
6.4e-07,nan,0.04634786034812773,-33629.12839349941
6.8e-07,nan,0.045028644346305345,-33806.151587202934
7.2e-07,nan,0.043705061468330295,-33983.123735649526
7.6e-07,nan,0.04237444858139826,-34156.6232583688
8e-07,nan,0.04104064324333855,-34328.66434340241
8.4e-07,nan,0.039700738338683046,-34497.57275298746
8.8e-07,nan,0.03835193013444734,-34665.355820025645
9.2e-07,nan,0.036999958426181506,-34830.556453409845
9.6e-07,nan,0.03564239165784415,-34994.95119178102
1e-06,nan,0.0342770009030666,-35154.79324415102
1.04e-06,nan,0.03290611020010436,-35316.33933462642
1.08e-06,nan,0.0315275733285765,-35475.5849861014
1.12e-06,nan,0.030142969972846996,-35633.93172563102
1.16e-06,nan,0.02875040203049814,-35787.04263998748
1.2e-06,nan,0.02734906725344886,-35939.52172353918
1.24e-06,nan,0.02593951977181797,-36089.13879393724
1.28e-06,nan,0.02452258251018157,-36234.58299850861
1.32e-06,nan,0.023098544939497704,-36379.98103901527
1.36e-06,nan,0.021668606296588604,-36522.050589828475
1.4e-06,nan,0.020234677089771058,-36661.095156108764
1.44e-06,nan,0.018790967899904244,-36797.295694436805
1.48e-06,nan,0.017338107292493035,-36929.68767601667
1.52e-06,nan,0.01588110311509607,-37058.90084166385
1.56e-06,nan,0.014417304640806265,-37183.08341002189
1.6e-06,nan,0.012944863390798643,-37303.19385835016
1.64e-06,nan,0.01146473048393022,-37420.676824075774
1.68e-06,nan,0.009977989368641397,-37532.047024253225
1.72e-06,nan,0.008482456606855827,-37635.57566545032
1.76e-06,nan,0.006981237808414166,-37734.343473727335
1.8e-06,nan,0.005474345379212521,-37824.16686089282
1.84e-06,nan,0.003961324436319362,-37907.65320395229
1.88e-06,nan,0.0024445279650858642,-37985.97740947304
1.92e-06,nan,0.0009223721458478741,-38056.241878014866
1.96e-06,nan,-0.0006042415261303315,-38115.53434732407
2e-06,nan,-0.002135408162733623,-38170.00256358518
2.04e-06,nan,-0.0036713303936319586,-38210.71351809538
2.08e-06,nan,-0.005211408600414202,-38247.40539846381
2.12e-06,nan,-0.006754493169849761,-38271.94374501107
2.16e-06,nan,-0.008300869437598392,-38283.92087641745
2.2e-06,nan,-0.00985192686425312,-38287.58902845753
2.24e-06,nan,-0.011403902327371753,-38280.55560589194
2.28e-06,nan,-0.01295586124929179,-38262.40008836361
2.32e-06,nan,-0.014508729937078009,-38230.823981033725
2.36e-06,nan,-0.016062090725491286,-38185.09406938229
2.4e-06,nan,-0.0176153729432162,-38128.01026508912
