Bmax (T) =,0.29878970907767466,Freq(Hz) =,1000.0,Hc =,0.16924447883027427,Br (T) =,0.002172513339447396,Hmax =,31.532950076308886,µr =,7540.344152643857,W(J/m³) =,0.1297355661480051,P(W/m³) =,129.7355661480051
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,0.13579032693635984,-0.00028751686186870914,1877.2211236704425
4e-07,0.21017799575110896,0.0004627337316430187,1877.2020599639236
8e-07,0.2841759605870453,0.0012135899961727848,1877.186231286413
1.2e-06,0.36273803157361373,0.001964529801532587,1877.1744369734733
1.6e-06,0.44223548430423065,0.002715542705118694,1877.106490473491
2e-06,0.5229844635393546,0.003466894993326833,1877.08653090314
2.4e-06,0.5964301765964031,0.004217928782120448,1877.0710309075228
2.8e-06,0.6761759600701995,0.004969119209970405,1877.020606168968
3.2e-06,0.7530687271949632,0.0057203983999522855,1876.9542079604973
3.6e-06,0.8381152432534238,0.006471484401764651,1876.8458330391672
4e-06,0.9153244305128929,0.007222063937294865,1876.7575332557192
4.4e-06,0.9974129847287765,0.00797257037459882,1876.620025287651
4.8e-06,1.0804009088659554,0.00872313424622323,1876.465157666101
5.2e-06,1.1637570288750845,0.00947375555216851,1876.318590222159
5.6e-06,1.2431660316680997,0.010223938268756005,1876.1739817653954
6e-06,1.3205894940474368,0.01097452302558811,1875.9459948607612
6.4e-06,1.3993927572295206,0.011725253978872821,1875.748093925715
6.8e-06,1.4753624187872267,0.01247594316174247,1875.5421045171086
7.2e-06,1.554103199251161,0.01322669500023469,1875.3832107970054
7.6e-06,1.6347932729434156,0.013976569660011397,1875.170497023047
8e-06,1.711172571002317,0.014726574852335046,1874.9202785491639
8.4e-06,1.7914789932331354,0.015476345086074206,1874.729140821914
8.8e-06,1.869944937762785,0.01622634505709601,1874.4282162710936
9.2e-06,1.9507979866063527,0.016976365913325093,1874.18186364865
9.6e-06,2.0283475017972146,0.017725880303272257,1873.9054994899438
1e-05,2.111963892157995,0.018475624430502022,1873.5863957355589
1.04e-05,2.1917325142098125,0.01922538422163745,1873.3066029820227
1.08e-05,2.2690011796157297,0.01997482551335831,1872.9435825276848
1.12e-05,2.3457908027795353,0.02072370290447638,1872.655532669931
1.16e-05,2.420842390822579,0.02147230878789679,1872.2395123190433
1.2e-05,2.4989490086155177,0.022220716261845838,1871.8989892980394
1.24e-05,2.569964393017136,0.022969186391417415,1871.5305995762092
1.28e-05,2.6468976193090974,0.023717948913894164,1871.169165805311
1.32e-05,2.7292154392250865,0.024466784534597216,1870.7924089158814
1.36e-05,2.810267777987998,0.025215473958847476,1870.4107468311531
1.4e-05,2.8825374056509956,0.025964058957060374,1870.0155657545802
1.44e-05,2.9604223955964377,0.02671200695644418,1869.5865628606566
1.48e-05,3.0364775415229817,0.027459636456413417,1869.157582531783
1.52e-05,3.118512530909628,0.02820686391613809,1868.7194830236735
1.56e-05,3.1999246852909984,0.02895424279361722,1868.277353773696
1.6e-05,3.2802320852853075,0.029701799195360198,1867.7951966320106
1.64e-05,3.3578737909979495,0.030448817803009738,1867.3129619229658
1.68e-05,3.4372357058042518,0.031195867738470565,1866.8263874376646
1.72e-05,3.513737874572324,0.03194280280529007,1866.3408507096174
1.76e-05,3.5843005154762997,0.03268954990524195,1865.7522927750842
1.8e-05,3.6569033466447856,0.033435968063175336,1865.2365671439948
1.84e-05,3.730016713924905,0.03418185364831741,1864.675896790794
1.88e-05,3.811341196073956,0.03492768702044069,1864.1348831818382
1.92e-05,3.8940288886523007,0.035673003483678044,1863.5444955978246
1.96e-05,3.9733588946784373,0.03641786569365204,1862.9660779110454
2e-05,4.048878603802714,0.03716295241960679,1862.3760561472366
2.04e-05,4.122600242186647,0.037908033924259656,1861.7233774289286
2.08e-05,4.195604643643779,0.03865289613423365,1861.171911814114
2.12e-05,4.273576260811599,0.03939720488620859,1860.5297109574526
2.16e-05,4.349745663512383,0.04014174337546617,1859.917160811718
2.2e-05,4.4274144554255175,0.04088593725879979,1859.2483429114081
2.24e-05,4.507280002822165,0.04162921219300273,1858.6192431818213
2.28e-05,4.5894573828833405,0.04237234615205514,1857.948411037384
2.32e-05,4.668695888336346,0.04311536524246627,1857.3124971327636
2.36e-05,4.7476703529288535,0.04385821725121729,1856.6209968910723
2.4e-05,4.827621072670776,0.04460079775227068,1855.9347981825472
2.44e-05,4.905846477631774,0.045343305155097775,1855.219822845385
2.48e-05,4.982107169079346,0.04608579167271736,1854.5293922497497
2.52e-05,5.059162170971918,0.046827494995055244,1853.8113975051679
2.56e-05,5.137259018863331,0.04756859917300264,1853.0468427569704
2.6e-05,5.21297252252648,0.04830969943497364,1852.3172088341685
2.64e-05,5.290245403949028,0.04905095503067549,1851.5189115792864
2.68e-05,5.373829614190182,0.049792131001523715,1850.7820106134309
2.72e-05,5.453962594694881,0.05053227837590183,1849.9675259124126
2.76e-05,5.529627840955413,0.051271677798786115,1849.1242984303321
2.8e-05,5.608075847492605,0.0520113252335096,1848.3475274301807
2.84e-05,5.680887825566138,0.05275037613449356,1847.4858637145114
2.88e-05,5.754955381743223,0.053489143779850645,1846.6371196653054
2.92e-05,5.826469076850554,0.054228249504504326,1845.7378763071042
2.96e-05,5.903624423906544,0.05496644019600392,1844.8733146670365
3e-05,5.982869694689374,0.05570428628157956,1843.9774021217831
3.04e-05,6.055134558949584,0.056441725105608735,1843.115380675635
3.08e-05,6.1327455979241225,0.05717870576039811,1842.2215201788026
3.12e-05,6.208003063685695,0.05791551541755101,1841.327187480875
3.16e-05,6.284009782412328,0.05865225980843023,1840.3574600731122
3.2e-05,6.363096363324331,0.05938883842297505,1839.4123319194932
3.24e-05,6.442387317315394,0.0601248296410586,1838.4311580570597
3.28e-05,6.523279438367975,0.06086038749108626,1837.4683048215097
3.32e-05,6.598222919661511,0.06159537621920924,1836.4932477330299
3.36e-05,6.672492163766616,0.0623303231769172,1835.530939036017
3.4e-05,6.747795264991423,0.0630649816576964,1834.5311487721717
3.44e-05,6.823486134169537,0.06379888827100523,1833.5046794107907
3.48e-05,6.8996622749653405,0.06453241503460244,1832.4951659608644
3.52e-05,6.971399089782823,0.06526547188103064,1831.4242321681959
3.56e-05,7.0434177768676385,0.06599799093336539,1830.3959099654771
3.6e-05,7.121551849035413,0.06673017582237978,1829.330472564587
3.64e-05,7.2023728085420835,0.06746187513031975,1828.2350786493314
3.68e-05,7.277989018686048,0.06819283823469492,1827.146103707329
3.72e-05,7.3517506999816025,0.06892323221716543,1826.035486453372
3.76e-05,7.425926167220993,0.0696539185925411,1824.9329718544839
3.8e-05,7.501943483989287,0.07038430213240782,1823.8185309997937
3.84e-05,7.574195237207723,0.07111413743557736,1822.6858846156458
3.88e-05,7.65018033552591,0.07184382132099246,1821.5957455364385
3.92e-05,7.725454468658132,0.07257263324899398,1820.400432717337
3.96e-05,7.798572441984339,0.07330083428467576,1819.2615128574978
4e-05,7.8722318686533335,0.0740285967309998,1818.0644515604145
4.04e-05,7.948897245245455,0.07475598846489034,1816.8736765885644
4.08e-05,8.028172064794033,0.0754826439952163,1815.6647780422652
4.12e-05,8.098710047094626,0.07620841712552488,1814.4546191438951
4.16e-05,8.175880959688065,0.07693426857536165,1813.305409699548
4.2e-05,8.256800198883207,0.0776600782547834,1812.0827599490178
4.24e-05,8.33320381964943,0.07838506296850845,1810.8358591160152
4.28e-05,8.407280725101453,0.0791094785603288,1809.5722394612856
4.32e-05,8.486206133739671,0.07983333025154635,1808.3236450742609
4.36e-05,8.555364587585672,0.08055650839482166,1807.039208259749
4.4e-05,8.635357556931714,0.08127904953926789,1805.7696117265418
4.44e-05,8.710569745317429,0.08200099545530003,1804.5096250644713
4.48e-05,8.781725822084297,0.08272221038906909,1803.1722553238137
4.52e-05,8.847224051265774,0.08344266823406604,1801.8549964294461
4.56e-05,8.919999955986038,0.08416280757964845,1800.509200366284
4.6e-05,8.999805941514401,0.08488266497492944,1799.1561392776014
4.64e-05,9.076834090551694,0.08560234484594659,1797.8653560035648
4.68e-05,9.151895609887767,0.08632133028381397,1796.5277320339271
4.72e-05,9.230395996707855,0.08703985102581425,1795.1323037316554
4.76e-05,9.30849401569631,0.08775815769443754,1793.750362219023
4.8e-05,9.384640270821611,0.08847529609676566,1792.3980097355945
4.84e-05,9.459162918070147,0.08919160953339708,1790.9414386093586
4.88e-05,9.529276028512214,0.08990832109429668,1789.5721214195908
4.92e-05,9.597508901785291,0.09062485382560677,1788.169543776857
4.96e-05,9.674442302581813,0.09134037362435275,1786.7274870706626
5e-05,9.751121859434354,0.09205533735444874,1785.287167422812
5.04e-05,9.825267531449734,0.0927695583543526,1783.8004307029169
5.08e-05,9.902432732801556,0.09348267243825838,1782.3387479268442
5.12e-05,9.975640136182479,0.09419481666534034,1780.841068822591
5.16e-05,10.043471861474659,0.0949068408024791,1779.3876459517785
5.2e-05,10.117176594099263,0.09561850989109016,1777.91675698783
5.24e-05,10.188819301870936,0.09632957983531075,1776.386286262622
5.28e-05,10.264064486412034,0.09704041482094683,1774.8796387457915
5.32e-05,10.34115972858459,0.09775052404562187,1773.361139798239
5.36e-05,10.410880126441352,0.09845975609158128,1771.8083190960324
5.4e-05,10.4864750571164,0.09916848689256061,1770.273479976912
5.44e-05,10.555711880656062,0.09987670078465401,1768.7045756042942
5.48e-05,10.63016429637718,0.1005839487359,1767.1725152379017
5.52e-05,10.701449701530507,0.10129057535222256,1765.5472748866894
5.56e-05,10.772060292184555,0.10199681037090426,1763.922924405466
5.6e-05,10.84993040486004,0.10270240316945498,1762.3011543905093
5.64e-05,10.92071664595011,0.10340762003427051,1760.6436236680227
5.68e-05,10.99113842805384,0.1041124714079546,1758.967102340377
5.72e-05,11.068772473386318,0.10481673277452647,1757.2748539954728
5.76e-05,11.148869143493984,0.10552031537185423,1755.6560457412836
5.8e-05,11.224714256543413,0.1062229268070327,1753.9692374930569
5.84e-05,11.29656588157348,0.1069246662847974,1752.31412213197
5.88e-05,11.366792771003706,0.1076252466335454,1750.6448997361813
5.92e-05,11.438045899874984,0.10832534140121877,1748.8971358833908
5.96e-05,11.510806262930299,0.10902481483396867,1747.2247868178426
6e-05,11.585716209424337,0.10972374003002139,1745.4400023363808
6.04e-05,11.656129797547276,0.11042262867696097,1743.7145276211384
6.08e-05,11.73536774989817,0.11112077589903388,1741.9563131728025
6.12e-05,11.8124485128998,0.11181791540984438,1740.19567897542
6.16e-05,11.894113385183218,0.11251373915258166,1738.4635681374907
6.2e-05,11.970486833136567,0.11320861261837718,1736.6907484996332
