Bmax (T) =,0.09950627281542487,Freq(Hz) =,1000.0,Hc =,0.26232185606628156,Br (T) =,0.05467184431141223,Hmax =,0.5201171323024913,µr =,8000.0,W(J/m³) =,0.08283505230601275,P(W/m³) =,82.83505230601276
temps (s),ChampH (A/m),ChampB (T),dB/dt (T/s)
0.0,0.2745017168041844,-0.00023682640526182726,625.6425425816302
4e-07,0.27353687021796474,1.3500881342717578e-05,625.6334057734492
8e-07,0.2684203638755133,0.0002635305537402248,625.6192016620223
1.2e-06,0.2710089624476452,0.0005133409314588646,625.5857262534494
1.6e-06,0.2679505758890994,0.0007633112115475197,625.5842103208455
2e-06,0.2756379679523669,0.001013401581579363,625.5709895911695
2.4e-06,0.28040206002318074,0.0012633790409580976,625.5589601864492
2.8e-06,0.2757826076846592,0.0015134504837706344,625.5248106078278
3.2e-06,0.28550031117163915,0.0017637908236298782,625.4849225724212
3.6e-06,0.2898521941607978,0.002014081561121213,625.4388196285977
4e-06,0.2846827031242957,0.0022643566347069852,625.4025835663474
4.4e-06,0.28241129620547184,0.0025144907331420604,625.3601830144651
4.8e-06,0.2814648367507934,0.002764846736906936,625.333490675632
5.2e-06,0.2824843313721834,0.0030154115927469244,625.2872401579474
5.6e-06,0.2869298683005232,0.003265550912483877,625.2516376799962
6e-06,0.292065401288323,0.0035156641257114317,625.1970236380272
6.4e-06,0.2985330267435909,0.0037656807448542516,625.153623838343
6.8e-06,0.29736045827200236,0.004015451962808806,625.1123388069507
7.2e-06,0.2922004321071024,0.004265275393782145,625.0717158012216
7.6e-06,0.29384417021081405,0.00451525285316088,625.0161125011873
8e-06,0.2909544038746715,0.004765413058105272,624.9423614554611
8.4e-06,0.29604100834022434,0.005015643750625081,624.8732109376815
8.8e-06,0.30212058286908855,0.0052657054034965945,624.769966431222
9.2e-06,0.30662205876283727,0.005515827101339701,624.6619737837791
9.6e-06,0.30735340500505165,0.005765898544152237,624.5671025562866
1e-05,0.30439914649211847,0.006015583610625812,624.4737499253282
1.04e-05,0.30306347758907176,0.006265072878278972,624.3723523055411
1.08e-05,0.30102426845037716,0.006514606526998095,624.2519545217881
1.12e-05,0.3050124290709057,0.006764056634887171,624.1571626637261
1.16e-05,0.3077019232186991,0.007013723426804169,624.0484796276052
1.2e-05,0.3060655473916127,0.00726371916073948,623.9478516483998
1.24e-05,0.3038171663994393,0.00751360785798629,623.8042026959588
1.28e-05,0.3120265941892481,0.0077630449126205965,623.7009221872754
1.32e-05,0.31635577053793545,0.0080120877589632,623.5810129603631
1.36e-05,0.31815116581073316,0.008261472600578804,623.4566708371873
1.4e-05,0.30934230202564267,0.00851119421616552,623.3479609658947
1.44e-05,0.3091498201376191,0.008760748750092152,623.207312068209
1.48e-05,0.3041741560527768,0.009010081378688972,623.0649192368925
1.52e-05,0.299179872163652,0.009259082454616546,622.9392359035493
1.56e-05,0.29946946714861405,0.009508229726996706,622.7888451331012
1.6e-05,0.29590052874275924,0.009757677224234837,622.6417128577481
1.64e-05,0.29705106613178506,0.010007015074133534,622.4946684528942
1.68e-05,0.30086927249469225,0.010255950883787638,622.33411522222
1.72e-05,0.303961638620807,0.010504623017696842,622.1972515725191
1.76e-05,0.3039847562716255,0.010753577101907521,622.06856175965
1.8e-05,0.2974844876376323,0.011002572956533218,621.9076454510513
1.84e-05,0.29478734447432003,0.011251211151980283,621.7516423687154
1.88e-05,0.2965270598150625,0.011499875453936735,621.571720685819
1.92e-05,0.2997365018213945,0.011748589358261027,621.380061729415
1.96e-05,0.3015360112324425,0.011996966488614206,621.1884904084575
2e-05,0.30042621363008,0.012245194811863869,621.0111549310284
2.04e-05,0.30122371821455524,0.012493399639255076,620.8351368451024
2.08e-05,0.3019555807750683,0.012741617519900971,620.6200143108059
2.12e-05,0.3001058777341739,0.012989999871556029,620.4028453301752
2.16e-05,0.3011660615728908,0.013238230805456554,620.180216322363
2.2e-05,0.299073375966803,0.013486140629291656,619.9580412892776
2.24e-05,0.3022417997188936,0.013734055674428636,619.7228105922085
2.28e-05,0.3037133807055407,0.013981947223707176,619.4881954783252
2.32e-05,0.30612229338175373,0.014229958862928903,619.2638303229999
2.36e-05,0.3026628034939573,0.014477962670197807,619.0341830459352
2.4e-05,0.301966806629644,0.014725624482193712,618.7994181839546
2.44e-05,0.3029017649899975,0.014973061778208873,618.5809723486007
2.48e-05,0.3036069238478693,0.015220350267120515,618.3612024325383
2.52e-05,0.29919908091240716,0.015467482116975828,618.131515549109
2.56e-05,0.30478462261892275,0.015714629630736773,617.8826346616659
2.6e-05,0.300215744457949,0.015961892013138957,617.6358560357567
2.64e-05,0.30163072497578886,0.016208919436956716,617.362399056645
2.68e-05,0.30305100693532644,0.016455670131774944,617.075921485357
2.72e-05,0.29942179748004555,0.016702345117715945,616.8016847779895
2.76e-05,0.3060476730143073,0.016948779923770557,616.532574274133
2.8e-05,0.3044538131545567,0.017195128578344192,616.2797566864765
2.84e-05,0.3024647934091815,0.01744131015125773,616.0332808279114
2.88e-05,0.30680526198469865,0.017687789338378307,615.7617302233692
2.92e-05,0.3102009493081223,0.017934474766923062,615.4967492510075
2.96e-05,0.3132653179097596,0.018180880855817348,615.2019995517236
3e-05,0.3165566531896224,0.018427106809796846,614.917743599724
3.04e-05,0.31857053610210556,0.018673364091587555,614.6180839453256
3.08e-05,0.3224727718895028,0.018919717967463064,614.3354489552697
3.12e-05,0.3256264447277308,0.01916588387647097,614.0009175622956
3.16e-05,0.3301673444622218,0.019411705179554945,613.6932472367492
3.2e-05,0.33145347821273025,0.019657247142988447,613.3794917126493
3.24e-05,0.33308282006039575,0.019902804770327593,613.0857228291253
3.28e-05,0.33736951688932654,0.020147949914818376,612.7325657109848
3.32e-05,0.34007727208155464,0.020392899260488748,612.4074167169889
3.36e-05,0.344494602281689,0.020638107060602068,612.100723230896
3.4e-05,0.3482246666285255,0.020882897156565165,611.7962789631853
3.44e-05,0.3507503529121318,0.021127481011104083,611.4708573473422
3.48e-05,0.34936400425460007,0.021372153627774868,611.1205939618295
3.52e-05,0.3531602639964953,0.021616322388814502,610.7615179448541
3.56e-05,0.3539035020349515,0.02186053814157103,610.4417265048959
3.6e-05,0.35993218094820306,0.022104832213855733,610.0811470914557
3.64e-05,0.36257920337682853,0.02234869552873551,609.7440922912339
3.68e-05,0.36551200818528057,0.022592566675568106,609.3716398222315
3.72e-05,0.36532370929587926,0.022836223749023717,608.9973556274491
3.76e-05,0.3665847542001715,0.023079382188149984,608.6231494701319
3.8e-05,0.36542364533184385,0.02332256673378565,608.2681779417546
3.84e-05,0.3686487341093411,0.02356566512794032,607.8912105039537
3.88e-05,0.3665510359523347,0.02380873219428373,607.5320473608126
3.92e-05,0.37180922762122887,0.02405186713755149,607.1480225077062
3.96e-05,0.37460282937171113,0.024294754068980115,606.7511434894617
4e-05,0.36805000299142415,0.024537392988569544,606.3522668374734
4.04e-05,0.3740685586902572,0.024779635089216257,605.9492429564881
4.08e-05,0.37655925045551647,0.025021788427731045,605.5365346339267
4.12e-05,0.3819306770887329,0.02526396265145334,605.1474414981878
4.16e-05,0.38672287824589563,0.025506100326062497,604.7240545398797
4.2e-05,0.389864376987255,0.025748151849190663,604.301532183405
4.24e-05,0.39230334170170494,0.025989986688290903,603.868877296737
4.28e-05,0.39714856776630086,0.026231813695438325,603.4659524120744
4.32e-05,0.39559590147230667,0.026473525833944432,603.0544775280603
4.36e-05,0.39576478630951833,0.02671488814522472,602.6476531990224
4.4e-05,0.3953832715370135,0.02695613036656176,602.1864058474333
4.44e-05,0.4005880106110064,0.02719681586658614,601.7487285133916
4.48e-05,0.40162324803150157,0.027437238996191146,601.2887230622441
4.52e-05,0.4037000613890536,0.02767776981514739,600.8464686663409
4.56e-05,0.40724587145190233,0.027918012157174887,600.4116520400355
4.6e-05,0.4042309743204074,0.028158184664289765,599.9706546271152
4.64e-05,0.3983748667623977,0.028398325190930638,599.4886472824973
4.68e-05,0.40433534196514703,0.02863848856076723,599.013558055134
4.72e-05,0.4021967950149708,0.02887845482645793,598.5661862114291
4.76e-05,0.40509880988981134,0.029118087581491182,598.0870900325059
4.8e-05,0.4075144792883027,0.029357364635334015,597.6027439438437
4.84e-05,0.40732767253054053,0.029596149581474787,597.1050054783402
4.88e-05,0.405533367524553,0.029834737423469742,596.6539361004483
4.92e-05,0.4008206520832603,0.03007336377256604,596.1593633626119
4.96e-05,0.39950310468824896,0.030312007090893444,595.6751877752333
5e-05,0.39715771691578655,0.03055026142223095,595.165346676329
5.04e-05,0.39740507453548385,0.030788078469536184,594.6769099769664
5.08e-05,0.4001928080911272,0.03102559007068157,594.1889411694029
5.12e-05,0.39139687579975385,0.03126316432744948,593.7051433017675
5.16e-05,0.4018953128737724,0.03150101792386787,593.1954927032064
5.2e-05,0.40669916300022063,0.03173870965992804,592.6787770011601
5.24e-05,0.4043725722264557,0.031975897540356985,592.1873172608558
5.28e-05,0.40710672044269175,0.032212910507172975,591.6396561487497
5.32e-05,0.4091783530659359,0.03244965979824419,591.1118135558438
5.36e-05,0.40329186181016213,0.032685824303505084,590.5901191751778
5.4e-05,0.4120251142167664,0.0329217616821343,590.0482397499488
5.44e-05,0.4105070321704835,0.033157508483244974,589.5301606742335
5.48e-05,0.41440329196696996,0.03339337537429883,588.99943782505
5.52e-05,0.4208579551296438,0.03362908823694729,588.442169603675
5.56e-05,0.4239603458196238,0.03386425286289858,587.9220732477353
5.6e-05,0.4258406466037548,0.034099474923170524,587.3611270407152
5.64e-05,0.42104347600065223,0.03433458994675398,586.8028691891074
5.68e-05,0.4215462785007283,0.03456920633600809,586.2770820724738
5.72e-05,0.42277532411112156,0.034803767901592425,585.7280805141218
5.76e-05,0.424069026921113,0.03503837645889373,585.1466439879674
5.8e-05,0.43149974591470824,0.035272535984233536,584.5743198441112
5.84e-05,0.4385109138584539,0.03550610289181021,583.9771369480336
5.88e-05,0.4360985695282837,0.03573945311535894,583.4134346120999
5.92e-05,0.4358431635163587,0.03597266497440791,582.8216764559304
5.96e-05,0.4317796582167935,0.036205764575466516,582.242123778471
6e-05,0.43697254241284894,0.03643862399663873,581.6665395920895
6.04e-05,0.43242600634930256,0.0366712510698774,581.0670639733102
6.08e-05,0.43432957884588547,0.03690379982358789,580.474224496805
6.12e-05,0.4370843904189928,0.0371360744589498,579.8862808722569
6.16e-05,0.4321540543465871,0.03736809325051963,579.2953463404173
6.2e-05,0.4351952720776561,0.037599978898891634,578.7029524648892
6.24e-05,0.42673029235111,0.03783173923601857,578.1034213932826
6.28e-05,0.4203076577345419,0.03806295916840115,577.5261498621843
6.32e-05,0.4178194253739614,0.03829375095402974,576.9313301850036
6.36e-05,0.42058627406290433,0.038524328666281346,576.3245470941216
6.4e-05,0.41554709556475883,0.038754979476759245,575.7145809796182
6.44e-05,0.4129651785333665,0.03898557546356742,575.080278203907
6.48e-05,0.41218402358002676,0.03921575635687631,574.4916038301901
6.52e-05,0.41489528332137054,0.03944557175905375,573.859140478231
6.56e-05,0.4176613085774454,0.03967477626891148,573.2310786723942
6.6e-05,0.42138867963642496,0.03990379020125061,572.6047744234463
6.64e-05,0.4153154737505355,0.04013293662412495,571.9767753570676
6.68e-05,0.4206527754293425,0.04036201255942394,571.3546773255262
6.72e-05,0.4199351673693447,0.04059027723494366,570.7396657382881
6.76e-05,0.42071337437249473,0.04081803609684396,570.0945782103721
6.8e-05,0.4243037060955121,0.041045882415550725,569.4666465649158
6.84e-05,0.4267200558936575,0.04127350878691588,568.8173476582286
6.88e-05,0.4249490218604112,0.04150069917957423,568.1660440368393
6.92e-05,0.42117202372298707,0.04172780081010066,567.5185069179885
6.96e-05,0.4262750246904559,0.041954839132341826,566.8890859694293
7e-05,0.42225833193611634,0.04218167839244889,566.2263651574181
7.04e-05,0.42389354318905753,0.04240839886793818,565.53857526028
7.08e-05,0.41956528999973425,0.04263473818839044,564.8374084997726
7.12e-05,0.42424053262174694,0.04286063565617129,564.176617450065
7.16e-05,0.4272737515212271,0.0430862635742427,563.518815388053
7.2e-05,0.4351417162594438,0.04331182948935431,562.8748510492186
7.24e-05,0.4353584834657683,0.04353694898315537,562.1882135170674
7.28e-05,0.4374297672816389,0.043761835476360124,561.5440272885734
7.32e-05,0.4401731858927232,0.04398677940388554,560.8673235888126
7.36e-05,0.4311756243122485,0.04421143615980767,560.1733242678183
7.4e-05,0.43268167381545414,0.044435659547673936,559.4617436974994
7.44e-05,0.42747293687233506,0.04465938952251275,558.7613668508602
7.48e-05,0.428311741070229,0.04488281666184265,558.0690042207466
7.52e-05,0.4289435087586457,0.045106014063889865,557.3649777514767
7.56e-05,0.4288573665177184,0.04532885902806038,556.6459596074377
